"INSTNM","UNITID","NPT4_PRIV","NPT41_PRIV","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","POOR_Prop"
"American College of Healthcare",483009,8950,8950,9500,105.469475,0.154882155,1
"American College of Healthcare",483009,8950,8950,9500,105.469475,0.154882155,0.68
"American Institute-Toms River",482963,15507,15626,12340,136.999297,0.440589766,0.916666666666667
"Broadview Entertainment Arts University",459091,25003,24352,31502,349.7367791,0.546047861,0.5
"Brown Mackie College-Dallas",482954,20381,20057,21599,239.793178,0.289359316,0.627906976744186
"Chamberlain College of Nursing-Georgia",475732,19754,19754,25693,285.2449707,0.838268282,1
"Chamberlain College of Nursing-Indiana",475741,23614,23614,25693,285.2449707,0.838268282,1
"CollegeAmerica-Colorado Springs South",476319,29838,29141,27257.5,302.6141279,0.253311258,0.727272727272727
"Dade Medical College-Jacksonville",476391,28176,27613,25430,282.3251315,0.547491996,0.647058823529412
"Dade Medical College-West Palm Beach",476382,25627,24984,25430,282.3251315,0.547491996,0.733333333333333
"Empire Beauty School-Augusta",481678,14256,13566,8167,90.67044235,0.541509434,0.8
"Empire Beauty School-Rochester",481845,14557,14588,9522,105.7137201,0.473684211,0.857142857142857
"Empire Beauty School-Stone Park",481748,14746,14370,10029,111.3424595,0.566091954,0.773584905660377
"Empire Beauty School-Vernon Hills",481739,13742,12630,10029,111.3424595,0.566091954,0.75
"Fortis College-Cutler Bay",480143,19877,19877,13875,154.0409438,0.38722966,1
"ITT Technical Institute-Douglasville",479637,23353,22496,25833.5,286.8048087,0.394119686,0.67741935483871
"ITT Technical Institute-Hanover",462372,22131,20692,25833.5,286.8048087,0.394119686,0.542857142857143
"ITT Technical Institute-Marlton",479558,22635,20988,25833.5,286.8048087,0.394119686,0.628571428571429
"ITT Technical Institute-Overland Park",479646,23652,22616,25833.5,286.8048087,0.394119686,0.523809523809524
"ITT Technical Institute-Philadelphia",479549,22242,21874,25833.5,286.8048087,0.394119686,0.794520547945205
"ITT Technical Institute-Salem",479600,22403,20794,25833.5,286.8048087,0.394119686,0.733333333333333
"ITT Technical Institute-Salem",479600,22403,20794,25833.5,286.8048087,0.394119686,0.666666666666667
"ITT Technical Institute-San Antonio East",481623,24517,23345,25833.5,286.8048087,0.394119686,0.642857142857143
"ITT Technical Institute-Southfield",479585,22565,21973,25833.5,286.8048087,0.394119686,0.833333333333333
"ITT Technical Institute-Springfield",479655,21437,20766,25833.5,286.8048087,0.394119686,0.75
"ITT Technical Institute-Springfield",479655,21437,20766,25833.5,286.8048087,0.394119686,0.547619047619048
"ITT Technical Institute-Springfield",479655,21437,20766,25833.5,286.8048087,0.394119686,0.73469387755102
"ITT Technical Institute-West Chester",479664,24009,23497,25833.5,286.8048087,0.394119686,0.631578947368421
"Midwest Technical Institute-Springfield",482097,18766,18152,9500,105.469475,0.474501109,0.773480662983425
"Midwest Technical Institute-Springfield",482097,18766,18152,9500,105.469475,0.474501109,0.655737704918033
"National American University-Bellevue",477996,22570,22570,34486,382.8652963,0.483529767,1
"National American University-Rochester",482343,15611,15611,34486,382.8652963,0.483529767,1
"National College-Canton",480480,20605,18909,26140,290.207587,0.276846179,0.666666666666667
"National University College-Caguas",468723,9912,9826,7533,83.63174265,0.506378803,0.882352941176471
"Ross Medical Education Center-Charleston",481906,19680,19911,9500,105.469475,0.482155863,0.888888888888889
"Ross Medical Education Center-Kokomo",481863,20663,19803,9500,105.469475,0.565597668,0.6
"Southern Careers Institute-San Antonio",482015,24674,24442,9498,105.4472709,0.335187761,0.852941176470588
"Southern Careers Institute-San Antonio",482015,24674,24442,9498,105.4472709,0.335187761,0.75
"The College of Health Care Professions-Dallas",480824,22461,22231,9500,105.469475,0.542288557,0.848484848484849
"The College of Health Care Professions-Fort Worth",480833,24859,24246,9500,105.469475,0.466543892,0.44
"University of Phoenix-Knoxville Campus",474702,18540,18042,35500,394.122775,0.406534043,0.8125
"University of Phoenix-McAllen Campus",479770,16211,16118,35500,394.122775,0.406534043,0.777777777777778
"Virginia College-Florence",480107,17104,16982,19000,210.93895,0.256332599,0.9
"Virginia College-Greensboro",480815,16366,16440,19000,210.93895,0.256332599,0.944444444444444
"Virginia College-Shreveport Bossier City",475866,18836,18751,19000,210.93895,0.256332599,0.928571428571429
"West Coast University-Dallas",477039,38054,38054,33832,375.6045556,0.927737226,1
