"INSTNM","UNITID","NPT4_PRIV","NPT41_PRIV","NPT42_PRIV","RET_FTL4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C200_L4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"Academy of Cosmetology",372462,15975,15588,17588,0.8806,5500,61.061275,0.518072289,0.767791011,14500,0.200000003,1
"Academy of Cosmetology",372462,15975,15588,17588,0.8806,5500,61.061275,0.518072289,0.767791011,14500,0.200000003,0.657142857142857
"Academy of Cosmetology",372462,15975,15588,17588,0.8806,5500,61.061275,0.518072289,0.767791011,14500,0.200000003,0.666666666666667
"Academy of Cosmetology",372462,15975,15588,17588,0.8806,5500,61.061275,0.518072289,0.767791011,14500,0.200000003,0.81858407079646
"Academy of Hair Design-Las Vegas",181880,13801,13763,16926,0.8182,9811.5,108.9277636,0.599315068,0.728340462,19400,0.349726766,0.987951807228916
"Adrian's College of Beauty Modesto",119951,14768,14641,15194,0.8148,10836,120.3018138,0.43373494,0.586791698,14600,0.217391297,0.911602209944751
"Advanced Institute of Hair Design-Glendale",238166,11964,9843,9495,0.6667,10312,114.4843396,0.676136364,0.618611864,22000,0.397660822,0.5
"Advanced Technology Institute",231411,19692,18350,19302,0.7598,16771,186.1924806,0.456467662,0.735196667,35300,0.628304839,0.6
"Ailano School of Cosmetology",419147,16831,14802,18867,0.8649,8842.5,98.16987713,0.603448276,0.852186957,27500,0.28125,0.555555555555556
"Alaska Career College",103501,14170,14009,15521,0.8227,9500,105.469475,0.590111643,0.748726438,30900,0.5686813,0.893203883495146
"All-State Career-Baltimore",373784,14356,13366,16281,0.6903,6976,77.4479008,0.2442421,0.676003448,32900,0.55477649,0.725593667546174
"All-State Career School-Allied Health Campus",474997,51044,50410,51264,0.6583,6333,70.30928265,0.367067834,0.4937,36800,0.566919208,0.643636363636364
"Allen School-Brooklyn",188650,24068,23840,25295,0.6608,9500,105.469475,0.480874317,0.672115171,26900,0.463790447,0.888275862068965
