,Class,Distance,P-Value,Name
0,0,18183.24016994606,Black Hills State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,0,41047.38166431414,Indiana University-East,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,1,5767.621107585438,University of Akron Main Campus,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,1,35407.373488251134,University of Memphis,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,1,152209.1288461854,Ball State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,1,299481.1319609516,California State University-Chico,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,1,320385.67209264607,East Carolina University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,1,422793.4657236998,Middle Tennessee State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,1,486889.10528150894,University of Southern Mississippi,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,1,840453.4869590378,University of North Carolina at Charlotte,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,1,1163043.6121596657,Towson University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,1,1782487.3781840948,University of Nevada-Las Vegas,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,1,2215038.664907573,Missouri State University-Springfield,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,1,2379345.3798981644,Eastern Kentucky University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,1,2577606.1792118307,Kennesaw State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,1,2706245.1039263564,Southern Illinois University-Carbondale,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,1,3037956.923870054,Murray State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,1,3704575.193403653,University of North Florida,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,1,4597581.465887676,Old Dominion University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,1,5353272.325161301,Sam Houston State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,1,5744757.798050977,California Polytechnic State University-San Luis Obispo,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,1,5970181.421833329,University of Illinois at Chicago,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,1,6348132.829960447,Boise State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,3,1890.9692653454981,Texas A & M University-Commerce,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
24,3,19097.000036261143,Louisiana Tech University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
25,3,24847.656956931554,University of Wyoming,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,3,35566.958837076534,University of North Carolina Wilmington,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,3,38763.724532791675,Southern Illinois University-Edwardsville,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,3,42908.41790740611,Austin Peay State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
29,3,60592.702925241414,Central Washington University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,3,63284.225885178224,University of Northern Colorado,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,3,67548.03024138276,Southeast Missouri State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
32,3,80114.72536020675,Jacksonville State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,3,80903.0306726817,Northern Illinois University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
34,3,90011.4981885996,Georgia Institute of Technology-Main Campus,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,3,121700.64970879801,Central Connecticut State University,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
36,3,144157.73354389085,New Jersey Institute of Technology,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0]"
