"INSTNM","UNITID","SATVR25","SATVR75","SATMT25","SATMT75","SATVRMID","SATMTMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTCMMID","ACTENMID","ACTMTMID","SAT_AVG","SAT_AVG_ALL","NPT4_PRIV","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","RET_FT4","RET_PT4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"Adelphi University",188429,500,600,520,620,550,570,19,24,20,26,22,27,22,23,25,1098,1098,32781,20512,22884,32463,41181,41559,0.8112,0.3333,25000,277.55125,0.873628994,0.641871328,50600,0.766710341,0.209119496855346
"Adventist University of Health Sciences",133872,398,480,388,490,439,439,17,20,16,20,16,18,19,18,17,884,884,18901,18425,18301,19293,20027,20928,0.7143,0,20730,230.1454965,0.840851064,0.346120513,51100,0.807495713,0.418918918918919
"Alaska Pacific University",102669,465,575,450,510,520,480,20,24,18,24,18,23,22,21,21,1008,1008,30891,29014,28525,29899,33475,33275,0.6667,1,25125,278.9390063,0.768240343,0.463923711,47400,0.678571403,0.411764705882353
"Allegheny College",210669,530,640,540,650,585,595,23,29,23,30,23,28,26,27,26,1182,1182,25147,17619,19393,22012,25355,31425,0.8545,0.6667,28800,319.73904,0.924822695,0.784519288,49200,0.67524755,0.131403118040089
"American University",131159,590,690,570,660,640,615,26,30,26,33,24,28,28,30,26,1258,1258,33437,24281,25574,28174,30920,41908,0.8821,0.6667,23500,260.898175,0.927662037,0.782630266,55900,0.784389496,0.148109243697479
"Anderson University",150066,470,570,470,570,520,520,21,25,20,25,20,25,23,23,23,1053,1053,22654,20389,21569,21743,24107,24776,0.734,0.25,27999,310.846298,0.861859253,0.569103348,35900,0.612864077,0.201030927835052
"Anderson University",150066,470,570,470,570,520,520,21,25,20,25,20,25,23,23,23,1053,1053,22654,20389,21569,21743,24107,24776,0.734,0.25,27999,310.846298,0.861859253,0.569103348,35900,0.612864077,0.227011494252874
"Anderson University",217633,480,600,480,580,540,530,21,26,21,27,19,25,24,24,22,1079,1079,18344,15131,15890,19714,19347,21049,0.734,0.3333,27000,299.75535,0.83028083,0.44376577,32800,0.591497242,0.201030927835052
"Anderson University",217633,480,600,480,580,540,530,21,26,21,27,19,25,24,24,22,1079,1079,18344,15131,15890,19714,19347,21049,0.734,0.3333,27000,299.75535,0.83028083,0.44376577,32800,0.591497242,0.227011494252874
"Andrews University",168740,470,620,450,600,545,525,20,26,20,28,18,26,23,24,22,1070,1070,20386,16210,18877,19430,22472,25431,0.7859,0.5,29500,327.510475,0.773399015,0.595789935,36000,0.596045196,0.259414225941423
"Arizona Christian University",105899,440,580,455,600,510,528,20,25,18,25,17,26,23,22,22,1045,1045,22493,22665,22041,20957,23255,24204,0.6809,0,22625,251.1838813,0.748917749,0.491083929,31000,0.521739125,0.16
"Ashland University",201104,430,550,440,550,490,495,20,25,19,24,19,25,23,22,22,1043,1043,23352,19027,20693,21800,25278,27739,0.737,1,27000,299.75535,0.887463557,0.583414585,39200,0.664055705,0.174193548387097
"Augsburg College",173045,495,623,490,590,559,540,20,25,19,25,19,25,23,22,22,1053,1053,21006,16471,16876,20303,22923,27975,0.8158,1,27000,299.75535,0.849584278,0.617848759,44800,0.721024275,0.270348837209302
"Azusa Pacific University",109785,490,600,490,610,545,550,21,27,21,28,21,27,24,25,24,1098,1098,28516,23732,24672,27033,30442,34939,0.8228,0.3333,25000,277.55125,0.899326199,0.640419615,49000,0.687868059,0.232620320855615
"Baptist Bible College & Seminary of Pennsylvania",211024,473,568,430,548,521,489,20,24,20,23,17,24,22,22,21,1016,1016,17883,16122,14473,17891,22490,22533,0.7532,0.6,16288.5,180.8357414,0.926900585,0.482754483,30000,0.453924924,0.2
"Barry University",132471,420,520,420,520,470,470,17,21,16,21,16,22,19,19,19,930,930,20129,18897,17768,21037,25689,27200,0.5997,0.6667,29884,331.7736622,0.74662513,0.390019907,45300,0.712097228,0.488142292490119
"Belhaven University",175421,452,620,450,560,536,505,19,25,20,27,17,24,22,24,21,1033,1033,22258,20407,22598,22611,24277,23477,0.6,0.5328,31250,346.9390625,0.663201663,0.443741309,37900,0.639289677,0.345679012345679
"Bellarmine University",156286,490,590,490,590,540,540,22,27,22,28,21,26,25,25,24,1116,1116,23487,19381,20217,21716,25440,26368,0.797,0,25000,277.55125,0.885641677,0.64456988,44900,0.716262996,0.133177570093458
"Belmont Abbey College",197984,428,540,440,530,484,485,18,24,17,24,18,24,21,21,21,977,977,21950,21557,21702,20244,23341,22667,0.65,0.6667,27000,299.75535,0.659438776,0.406960123,39200,0.588785052,0.285714285714286
"Bethel College-Indiana",150145,440,550,460,580,495,520,20,27,20,27,19,26,24,24,23,1047,1047,17730,15035,14373,18045,19510,22648,0.8407,0.5714,21883.5,242.9517112,0.839658444,0.63227337,36500,0.62045759,0.287878787878788
