,Class,Distance,Name
0,0,0.0,Chattahoochee Valley Community College
1,0,102700.80784133317,St Clair County Community College
2,0,114401.06280959098,Southern State Community College
3,0,178947.84384951062,Northeast Iowa Community College-Calmar
4,0,229237.39168007718,New River Community College
5,0,234585.2555737634,Ridgewater College
6,0,385427.2629633963,Herkimer County Community College
7,0,415090.75123525586,St Charles Community College
8,0,477967.33618498215,Waukesha County Technical College
9,0,557178.7873449385,Whatcom Community College
10,0,570947.1135004465,Laramie County Community College
11,0,602602.7608136659,Black River Technical College
12,0,650765.7344183653,Wilkes Community College
13,0,653497.8553764473,Northeast Community College
14,0,666348.9524274777,Raritan Valley Community College
15,0,699127.2671316311,Zane State College
16,0,713908.2636000058,Blue Ridge Community College
17,0,713908.2636000164,Blue Ridge Community College
18,0,722276.2524688749,Lake Michigan College
19,0,724920.3857510333,Vernon College
20,0,789213.9463399074,Tunxis Community College
21,0,833241.2642256974,Hutchinson Community College
22,0,948521.1893112467,Clover Park Technical College
23,0,955494.2508734814,Dyersburg State Community College
24,0,968375.1203180153,McHenry County College
25,0,1156982.3121765812,Central Maine Community College
26,0,1198280.1284556615,Sussex County Community College
27,0,1203491.0548523013,East Central College
28,0,1215598.793723433,Inver Hills Community College
29,0,1383652.869918034,Western Technical College
30,0,1383652.869918041,Western Technical College
31,0,1383652.869918082,Western Technical College
32,0,1446117.4473925577,Hagerstown Community College
33,0,1452335.9540331222,Adirondack Community College
34,0,1534987.358601811,Shoreline Community College
35,0,1549933.3556131716,Cowley County Community College
36,0,1550462.6839110057,Corning Community College
37,0,1561750.4637038626,Central Community College
38,0,1596510.796574687,Orange County Community College
39,0,1601376.4484106665,Wenatchee Valley College
40,0,1638719.485898407,Caldwell Community College and Technical Institute
41,0,1670536.1547567341,Tompkins Cortland Community College
42,0,1682973.5352262063,Quincy College
43,0,1684441.552719265,Jefferson Community College
44,0,1690905.516317251,Lake Superior College
45,0,1739744.7558583517,Madisonville Community College
46,0,1757647.452266739,South Puget Sound Community College
47,0,1787943.917615747,Cayuga County Community College
48,0,1794234.2485987076,Kankakee Community College
49,1,0.0,Enterprise State Community College
50,1,75007.42647174059,Southwestern Michigan College
51,1,78053.21650071186,Frederick Community College
52,1,78457.9730349004,Danville Area Community College
53,1,83823.52495763317,South Central College
54,1,98378.37888132075,NHTI-Concord's Community College
55,1,109531.39934961373,James A Rhodes State College
56,1,124018.64215320874,Southeastern Community College
57,1,124018.64215321073,Southeastern Community College
58,1,148405.68098643003,Central Lakes College-Brainerd
59,1,223605.98389121093,Cape Cod Community College
60,1,233342.3671359881,Fulton-Montgomery Community College
61,1,250350.15303948827,Lehigh Carbon Community College
62,1,258320.41676161217,Connors State College
63,1,262900.2958099391,Eastern Gateway Community College
64,1,264774.483359508,Massachusetts Bay Community College
65,1,267481.413322522,Victoria College
66,1,359635.8165117787,Bay de Noc Community College
67,1,407502.811330111,Illinois Valley Community College
68,1,429935.14847147476,Wisconsin Indianhead Technical College
69,1,511972.66628462274,Motlow State Community College
70,1,549801.1464291002,Wichita Area Technical College
71,1,581523.8767773785,Piedmont Virginia Community College
72,1,623669.1148840348,Blackhawk Technical College
73,1,657314.0368503527,Casper College
74,1,681739.9123423307,Northwest State Community College
75,1,695725.9584275974,University of Arkansas Community College-Morrilton
76,1,713243.2239097424,North Central State College
77,1,819710.9085885145,Harford Community College
78,1,832847.010739583,Elgin Community College
79,1,866817.512603854,Mid-State Technical College
80,1,897939.4036533519,Northland Community and Technical College
81,1,937720.6081258832,Wytheville Community College
82,1,941657.7938752279,Pierce College at Puyallup
83,1,944953.8948182043,Delaware Technical Community College-Terry
84,1,977742.1708437316,Honolulu Community College
85,1,1023535.2459748619,Butler County Community College
86,1,1045542.6724256809,Eastern Maine Community College
87,1,1065263.306066928,Moraine Park Technical College
88,1,1070622.3949617706,Linn-Benton Community College
89,1,1132578.3497685844,Kirtland Community College
90,1,1296137.822463809,Iowa Lakes Community College
91,1,1306010.1206908964,Middlesex Community College
92,1,1306010.1206909104,Middlesex Community College
93,1,1343480.333401307,North Central Michigan College
94,1,1357960.7437800157,Berkshire Community College
95,1,1364510.058328345,Heartland Community College
96,1,1411899.7921840746,Barton County Community College
97,1,1425736.1060458077,Louisiana State University-Eunice
98,1,1482382.9877105998,Minnesota West Community and Technical College
99,1,1483974.1992939399,Southeast Technical Institute
100,1,1486663.823619718,Thaddeus Stevens College of Technology
101,1,1487978.3331697565,Terra State Community College
102,1,1531067.476562411,Arkansas State University-Mountain Home
103,1,1697384.0935813785,Dakota County Technical College
104,1,1746257.0840994958,Trinidad State Junior College
105,1,1770487.2387582571,West Virginia Northern Community College
106,1,1783889.1619070037,Sauk Valley Community College
107,1,1813824.8061819621,Blue Ridge Community College
108,1,1813824.8061819777,Blue Ridge Community College
109,1,1839699.2955491664,Western Wyoming Community College
110,1,1856735.1378013408,Richard Bland College of the College of William and Mary
111,1,1860709.444339468,Southwestern Oregon Community College
112,1,1892422.643926629,Renton Technical College
113,1,1907212.7647001608,Carl Sandburg College
114,1,2000344.1665284708,Olney Central College
115,1,2008813.3761066943,Belmont College
116,1,2016198.8682300379,Minnesota State College-Southeast Technical
117,1,2016220.869191961,North Iowa Area Community College
118,1,2019656.0318341318,Marshalltown Community College
119,1,2019657.0045014548,Lamar State College-Port Arthur
120,1,2031229.8767779912,Flathead Valley Community College
121,1,2074559.779725984,Sheridan College
122,1,2080548.915643064,Coconino Community College
123,1,2082794.090396554,Community College of Beaver County
124,1,2097686.25483864,Kennebec Valley Community College
125,1,2108135.45099845,Rend Lake College
126,1,2167618.6845986145,Marion Technical College
127,1,2183427.9001795077,Allen County Community College
128,1,2240289.2366805077,Lamar State College-Orange
129,1,2260894.3325621327,Dodge City Community College
130,1,2266341.479060771,Lamar Institute of Technology
131,1,2279376.8137168605,Greenfield Community College
132,1,2289051.6507550306,Blue Mountain Community College
133,1,2304773.401805128,Otero Junior College
134,1,2318734.544441854,Montcalm Community College
135,1,2378550.9729442466,Alpena Community College
136,1,2380696.273844272,Bates Technical College
137,1,2433662.9071763274,Garden City Community College
138,1,2459372.9776393943,Eastern Oklahoma State College
139,1,2472837.737387156,Anoka Technical College
140,1,2476320.7843509736,John Wood Community College
141,1,2501067.0753352465,Wabash Valley College
142,1,2532149.400855901,Cloud County Community College
143,1,2573694.023267681,Western Oklahoma State College
144,1,2574253.187614601,Southeastern Community College
145,1,2574253.1876146034,Southeastern Community College
146,1,2592423.8441009666,Western Nebraska Community College
147,1,2612399.134168331,Henderson Community College
148,1,2627606.282009741,North Central Missouri College
149,1,2643155.9690876133,Pennsylvania Highlands Community College
150,1,2648650.9404881997,Sullivan County Community College
151,1,2717011.9539679885,Columbia-Greene Community College
152,1,2723872.0608470566,Carteret Community College
153,1,2746440.4403240886,Cecil College
154,1,2761704.4349394892,Northeastern Junior College
155,1,2888607.499002741,New Mexico Junior College
156,1,2907184.8539437,Central Wyoming College
157,1,2908829.972850834,Highland Community College
158,1,2908829.9728508457,Highland Community College
159,1,2918115.752302679,Clarendon College
160,1,2919633.397378698,Lakeshore Technical College
161,1,2925144.3665877874,Asnuntuck Community College
162,1,2930103.293854221,Neosho County Community College
163,1,3041481.503000155,Mid-Plains Community College
164,1,3045771.1259323163,Clinton Community College
165,1,3085637.6959106545,University of South Carolina-Salkehatchie
166,1,3098408.1666766116,Alexandria Technical & Community College
167,1,3104328.060986698,Helena College University of Montana
168,1,3123085.2244134373,University of South Carolina-Lancaster
169,1,3133995.262198777,Lake Area Technical Institute
170,1,3138307.070939562,North Dakota State College of Science
171,1,3166304.566631863,Itasca Community College
172,1,3176267.365428209,Hibbing Community College
173,1,3237231.412606697,Northwest College
174,1,3409802.458695317,West Shore Community College
175,1,3425597.477231989,Nicolet Area Technical College
176,1,3450806.133134506,York County Community College
177,1,3451851.815564851,Western Dakota Technical Institute
178,1,3501599.233852048,Pratt Community College
179,1,3527748.6262518615,Linn State Technical College
180,1,3644322.98440693,Nashua Community College
181,1,3657695.6378504215,Northern Maine Community College
182,1,3701665.7834036206,Texas State Technical College-West Texas
183,1,3730917.076941005,North Country Community College
184,1,3800449.426536362,Washington State Community College
185,1,3872031.118836198,Warren County Community College
186,1,3883749.328829921,Morgan Community College
187,1,3939919.2339552827,Eastern Wyoming College
188,1,3970744.084880215,Glen Oaks Community College
189,1,3986143.736090193,Gogebic Community College
190,1,4030321.259516082,Independence Community College
191,1,4091626.6840642286,Mitchell Technical Institute
192,1,4129179.58034335,Lincoln Trail College
193,1,4194122.1815884695,Pine Technical College
194,1,4320587.694902007,Garrett College
195,1,4340416.443920339,Dabney S Lancaster Community College
196,1,4414424.13236474,Williston State College
197,1,4511000.245782633,Frank Phillips College
198,1,4573706.986089669,Eastern Idaho Technical College
199,1,4582364.541177217,Washburn Institute of Technology
200,1,4588885.281075376,University of South Carolina-Sumter
201,1,4610589.053484689,Lake Region State College
202,1,4638469.473622509,Flint Hills Technical College
203,1,4646697.567709715,Northwest Iowa Community College
204,1,4761676.682745453,North Central Kansas Technical College
205,1,4765662.53863975,Colorado Northwestern Community College
206,1,4768103.728772152,Manhattan Area Technical College
207,1,4959151.879943561,Dakota College at Bottineau
208,1,5015398.721462846,University of South Carolina-Union
209,1,5022206.23687729,Miles Community College
210,1,5131049.429066656,Northwest Kansas Technical College
211,1,5153332.842713093,Dawson Community College
212,1,5177327.822399344,Lancaster County Career and Technology Center
213,1,5184302.01581693,Washington County Community College
214,1,5240945.280444021,Vermilion Community College
215,1,5331148.438395714,Ohio State University Agricultural Technical Institute
216,1,5517040.212991007,Eastland-Fairfield Career and Technical Schools
217,1,5549520.313674164,Western Suffolk BOCES
