UNITID,INSTNM,PREDDEG,NPT4_PUB,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,RET_FTL4,RET_PTL4,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,POOR_Prop,Tot_Grant,Avg_Income_Low,Tot_Students,GG_NO_re
101028,Chattahoochee Valley Community College,2,1873,1110,2223,3296,6215,5940,0.5165,0.3293,7000,77.71435,0.528708134,0.239854244,27700,0.428770959,0.64874552,6394441,102138,2587,-0.077516479
101143,Enterprise State Community College,2,5048,4486,4699,7476,9713,10060,0.5411,0.45,11073,122.9329997,0.554301834,0.338283629,26300,0.489614248,0.656565657,6373326,105629,3265,-0.146179905
101161,James H Faulkner State Community College,2,7404,6474,6901,9452,10286,10846,0.5211,0.3981,9153,101.6170637,0.590852905,0.164098246,28900,0.433466136,0.575671853,12435700,107635,6635,-0.009137989
101295,George C Wallace State Community College-Hanceville,2,6628,6299,6229,8750,9756,8657,0.6368,0.5414,11330,125.7862265,0.606629393,0.310233833,27800,0.512655079,0.828220859,13507097,107594,7262,-0.340875938
101505,Jefferson State Community College,2,8799,7793,8912,11006,12606,12835,0.5235,0.4415,10000,111.0205,0.622807018,0.16483655,30300,0.493239284,0.629577465,14461525,109298,13578,-0.122816749
101514,John C Calhoun State Community College,2,5278,3925,5268,7865,9495,9550,0.5749,0.468,9940,110.354377,0.543043812,0.156614362,27200,0.464605749,0.583802025,20493633,105439,16800,-0.048407774
101736,Northwest-Shoals Community College,2,4678,4021,5158,6514,8568,7336,0.5263,0.3116,11500,127.673575,0.509727626,0.203530533,26300,0.395963818,0.677876106,10260937,105757,5500,-0.073839924
105145,GateWay Community College,1,8106,7530,8288,9579,12434,12423,0.5534,0.402,6946,77.1148393,0.585662759,0.215044,29800,0.590909064,0.691983122,10041933,112675,10444,-0.282892186
105428,Phoenix College,1,8091,7595,8483,10391,12205,12521,0.6033,0.3367,11373,126.2636147,0.465587045,0.220256784,32500,0.512152016,0.700361011,25754407,113023,19008,-0.212513027
106148,Yavapai College,1,8254,7342,8739,9562,12360,12610,0.6258,0.3492,10926,121.3009983,0.528830313,0.215899338,28200,0.4427481,0.576923077,11660295,113490,11518,-0.019671177
