,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,HCM2,PREDDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,poverty_rate,unemp_rate,CCSIZSET
91,104179,108300,1083,University of Arizona,Tucson,AZ,www.arizona.edu,oirps.arizona.edu/npc.html,0,3,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,483.0,600.0,500.0,630.0,480.0,590.0,542.0,565.0,535.0,21.0,27.0,,,,,,,24.0,,,,1106.0,1106.0,0.0182,0.0119,0.0172,0.008,0.0436,0.0,0.0123,0.0,0.0502,0.052000000000000005,0.0097,0.0271,0.0268,0.0,0.0313,0.0,0.0,0.0984,0.0126,0.0,0.0561,0.0,0.0137,0.0,0.0254,0.0038,0.0827,0.0,0.0223,0.091,0.0,0.0,0.0,0.0,0.0517,0.0531,0.162,0.0188,0.0,31399.0,0.5464,0.0333,0.2444,0.0561,0.0106,0.0021,0.0417,0.055,0.0104,0.099,1,13617.0,,10542.0,11413.0,15096.0,18507.0,19480.0,,,,,,0.3265,0.8148,,0.5874,,0.3962,0.091,19000,210.93895,0.832651333,0.613370272,,44400,0.671784282,9.289999962,3.269999981,3.0
104,104665,2533200,25332,Frank Lloyd Wright School of Architecture,Scottsdale,AZ,www.taliesin.edu,taliesin.edu/tuition.html,0,3,2,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1,,,,,,,,,,,,,0.3333,,,,,0.3333,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,,,,,3.0
117,105330,108200,1082,Northern Arizona University,Flagstaff,AZ,nau.edu/,nau.edu/FinAid/Cost/Budgeting/,0,3,1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,470.0,580.0,470.0,580.0,450.0,560.0,525.0,525.0,505.0,20.0,25.0,19.0,25.0,20.0,26.0,6.0,8.0,23.0,22.0,23.0,7.0,1050.0,1050.0,0.0,0.0308,0.0,0.0023,0.0501,0.0,0.0057,0.0,0.1413,0.0384,0.0,0.0043,0.0,0.0002,0.025,0.1077,0.0,0.0566,0.0041,0.0,0.0039,0.0341,0.0037,0.0,0.0244,0.0283,0.0406,0.0,0.0121,0.0652,0.0,0.0,0.0,0.0,0.0351,0.0892,0.1889,0.008,0.0,22011.0,0.628,0.0325,0.1925,0.016,0.031,0.0034,0.0478,0.0424,0.0063,0.1561,1,15011.0,,11962.0,12893.0,15636.0,18280.0,19619.0,,,,,,0.3778,0.7178,,0.4381,,0.5571,0.1989,21450,238.1389725,0.760114231,0.491979379,,38800,0.65242964,10.52999973,3.930000067,5.0
122,105516,2098800,20988,University of Phoenix-Phoenix Campus,Tempe,AZ,www.phoenix.edu,www.phoenix.edu/tuition_and_financial_options/tuition_and_fees.html,0,3,3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0791,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.1448,0.4651,0.0,0.0,3044.0,0.3292,0.0818,0.1961,0.0112,0.0115,0.0072,0.0207,0.0181,0.3242,0.0,1,,18899.0,,,,,,18900.0,18222.0,20628.0,23565.0,,0.5242,0.4605,,,,0.6171,0.8477,35500,394.122775,0.406534043,0.154078248,,53400,0.705231071,9.600000381,3.809999943,4.0
126,105589,2065300,20653,Prescott College,Prescott,AZ,www.prescott.edu,www.prescott.edu/apply/true-cost-calculator/index.html,0,3,2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,480.0,640.0,420.0,600.0,490.0,580.0,560.0,510.0,535.0,22.0,30.0,23.0,29.0,19.0,27.0,,,26.0,26.0,23.0,,1094.0,1094.0,0.0239,0.0909,0.0239,0.0622,0.0,0.0,0.0,0.0,0.1722,0.0,0.0,0.0,0.0,0.0,0.0096,0.0526,0.0,0.0574,0.0,0.0,0.0861,0.0957,0.0,0.0,0.0,0.0,0.2297,0.0,0.0048,0.0191,0.0,0.0,0.0,0.0,0.0287,0.0335,0.0096,0.0,0.0,540.0,0.7296,0.0148,0.0574,0.0111,0.0204,0.0,0.0389,0.0111,0.1167,0.187,1,,23432.0,,,,,,18274.0,21803.0,23456.0,27860.0,31945.0,0.4547,0.7344,,,,0.6478,0.3817,25000,277.55125,0.815551537,0.4079808,,35200,0.538922131,8.479999542,3.230000019,3.0
268,110653,131400,1314,University of California-Irvine,Irvine,CA,www.uci.edu/,www.ofas.uci.edu/content/Calculator.aspx,0,3,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,460.0,600.0,530.0,670.0,490.0,620.0,530.0,600.0,555.0,21.0,27.0,20.0,27.0,23.0,29.0,,,24.0,24.0,26.0,,1122.0,1122.0,0.0,0.002,0.0,0.0129,0.0057,0.0,0.0262,0.0,0.0007,0.0875,0.0,0.0136,0.0,0.0,0.0285,0.0007,0.0,0.1498,0.0131,0.0,0.0433,0.0,0.0054,0.0,0.0327,0.0,0.1122,0.0,0.0,0.2059,0.0,0.0,0.0,0.0,0.0639,0.0729,0.1068,0.0163,0.0,23517.0,0.1739,0.0187,0.2171,0.4371,0.0016,0.0042,0.0396,0.0894,0.0184,0.0171,1,11944.0,,8096.0,9500.0,12970.0,20923.0,26800.0,,,,,,0.43200000000000005,0.9175,,0.7,,0.4418,0.0442,17414,193.3310987,0.915738601,0.857361576,,55800,0.690753043,8.710000038,3.74000001,3.0
269,110662,131500,1315,University of California-Los Angeles,Los Angeles,CA,www.ucla.edu/,www.fao.ucla.edu/aid_estimator/,0,3,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,560.0,680.0,600.0,760.0,590.0,710.0,620.0,680.0,650.0,25.0,31.0,24.0,32.0,25.0,33.0,,,28.0,28.0,29.0,,1289.0,1289.0,0.0,0.0104,0.0026,0.0398,0.0,0.0,0.0156,0.0,0.0,0.078,0.0,0.0351,0.0,0.0,0.0501,0.0001,0.0,0.1558,0.0416,0.0,0.0415,0.0,0.0226,0.0,0.0213,0.0,0.11,0.0,0.0,0.2356,0.0,0.0,0.0,0.0,0.0514,0.0079,0.0262,0.0543,0.0,28667.0,0.2859,0.0261,0.1842,0.3099,0.0012,0.0036,0.0482,0.1176,0.0234,0.0206,1,13723.0,,8883.0,9579.0,13645.0,20789.0,27167.0,,,,,,0.3624,0.9626,,0.75,,0.374,0.0532,15900,176.522595,0.916604394,0.909257524,,59200,0.715552688,10.07999992,4.070000172,5.0
281,111081,113200,1132,California Institute of the Arts,Valencia,CA,www.calarts.edu,www.calarts.edu,0,3,2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,987.0,0.4377,0.0628,0.1125,0.1104,0.0051,0.0071,0.1084,0.1256,0.0304,0.0132,1,,42600.0,,,,,,36643.0,39709.0,42912.0,44381.0,50032.0,0.3337,0.85,,,,0.6211,0.1035,29400,326.40027,0.795811518,0.562066207,,32500,0.525469184,8.81000042,3.859999895,4.0
282,111188,113400,1134,California Maritime Academy,Vallejo,CA,www.csum.edu,www.csum.edu/web/admissions/financial-aid,0,3,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,470.0,580.0,490.0,610.0,,,525.0,550.0,,21.0,26.0,19.0,26.0,22.0,27.0,,,24.0,23.0,25.0,,1080.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1149,0.1782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1609,0.0,0.0,0.0,0.408,0.0,0.0,0.1379,0.0,0.0,1044.0,0.5785,0.0239,0.1561,0.0824,0.0038,0.0067,0.0852,0.0048,0.0584,0.0354,1,16974.0,,11371.0,13434.0,14795.0,18849.0,21819.0,,,,,,0.3762,0.8214,,0.5,,0.6043,0.1847,26000,288.6533,0.907534247,0.58333,,81100,0.765550256,6.380000114,3.579999924,5.0
309,112260,117000,1170,Claremont McKenna College,Claremont,CA,www.claremontmckenna.edu/,npc.collegeboard.org/student/app/claremontmckenna,0,3,2,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,650.0,740.0,670.0,760.0,660.0,750.0,695.0,715.0,705.0,29.0,33.0,29.0,34.0,29.0,34.0,,,31.0,32.0,32.0,,1397.0,1397.0,0.0,0.0242,0.0,0.0208,0.0242,0.0,0.0035,0.0,0.0,0.0035,0.0104,0.0104,0.0,0.0035,0.0519,0.0,0.0,0.0588,0.0138,0.0,0.0519,0.0,0.0242,0.0,0.0104,0.0,0.0692,0.0,0.0035,0.4498,0.0,0.0,0.0,0.0,0.0035,0.0,0.1246,0.0381,0.0,1311.0,0.4386,0.0397,0.1121,0.1083,0.0,0.0015,0.0778,0.1442,0.0778,0.0031,1,,22957.0,,,,,,11104.0,7477.0,12909.0,20685.0,38669.0,0.1163,0.9622,,,,0.0862,0.003,14000,155.4287,0.984251969,0.923516726,,63600,0.842519701,7.210000038,3.279999971,5.0
