,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,HCM2,PREDDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,poverty_rate,unemp_rate,CCSIZSET
31,101569,105900,1059,Lawson State Community College-Birmingham Campus,Birmingham,AL,www.lawsonstate.edu,www.lawsonstate.edu/financialaid/npc/npcalc.htm,0,1,1,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0287,0.0478,0.0877,0.0,0.0,0.1164,0.0,0.1005,0.0,0.0,0.2249,0.0,0.0,0.0,0.0,0.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0239,0.008,0.0112,0.0622,0.067,0.0223,0.0,0.0064,0.0734,0.0909,0.0,0.0,2894.0,0.1448,0.7557,0.0104,0.0031,0.0014,0.0024,0.0083,0.001,0.0729,0.3825,1,7406.0,,7320.0,7672.0,8030.0,,,,,,,,0.6821,,0.5251,,0.2403,0.0,0.4089,PrivacySuppressed,PrivacySuppressed,,,0.187934947,22300,0.363099635,18.75,5.309999943,3.0
76,103732,2173204,21732,Empire Beauty School-Paradise Valley,Phoenix,AZ,www.empire.edu,www.empire.edu/net-price-calculator,0,1,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.6047,0.0698,0.1628,0.0,0.0465,0.0465,0.0233,0.0,0.0465,0.2093,0,,12328.0,,,,,,10835.0,10555.0,15493.0,15718.0,,0.6598,,0.68,,0.75,0.6598,0.4651,9522,105.7137201,0.473684211,,0.640803883,19300,0.271186441,8.979999542,3.039999962,4.0
84,103927,2100607,21006,Carrington College-Tucson,Tucson,AZ,www.carrington.edu,carrington.edu/financial-aid/net-price-calculator/carrington-college/,0,1,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,440.0,0.2614,0.0364,0.6136,0.0023,0.0477,0.0045,0.0136,0.0,0.0205,0.0068,1,,21229.0,,,,,,20944.0,21767.0,22586.0,24072.0,24529.0,0.6507,,0.7273,,,0.5356,0.3568,9500,105.469475,0.475178297,,0.633205019,26200,0.432048112,,,3.0
88,104090,2218800,22188,Brookline College-Phoenix,Phoenix,AZ,www.brooklinecollege.edu,www.brooklinecollege.edu,0,1,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0844,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.8245,0.0629,0.0,0.0,828.0,0.3249,0.2077,0.2512,0.0193,0.0797,0.0048,0.0145,0.0229,0.0749,0.0,1,,25566.0,,,,,,25296.0,25857.0,25701.0,29302.0,29302.0,0.6609,0.4471,,,,0.6346,0.6389,9500,105.469475,0.229979879,0.511348571,,22300,0.321246445,13.47999954,3.980000019,3.0
96,104391,2280500,22805,Charles of Italy Beauty College,Lake Havasu City,AZ,www.charlesofitaly.edu,charlesofitaly.edu,0,1,3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3276,0.0,0.0,0.0,83.0,0.7952,0.0843,0.1205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,10819.0,,,,,,9846.0,11734.0,12384.0,13838.0,13838.0,0.6291,,0.9342,,,0.5828,0.4819,7389,82.03304745,0.424,,0.674825153,16500,0.200000003,8.640000343,3.230000019,3.0
99,104443,1054208,10542,Empire Beauty School-Chandler,Chandler,AZ,www.empire.edu,www.empire.edu/net-price-calculator,0,1,3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.3009,0.2655,0.3009,0.0088,0.0885,0.0,0.0177,0.0,0.0177,0.2389,1,,12513.0,,,,,,11812.0,12454.0,16135.0,16135.0,16135.0,0.7113,,0.6429,,0.6667,0.6753,0.469,8167,90.67044235,0.541509434,,0.593117241,16900,0.308743179,7.800000191,2.960000038,5.0
105,104708,107600,1076,Glendale Community College,Glendale,AZ,www.gccaz.edu,www.gccaz.edu/finaid/1519.htm,0,1,1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,0.0,0.0,0.0,0.0059,0.0018,0.0163,0.0,0.0181,0.0,0.0092,0.0,0.0045,0.0,0.0003,0.2579,0.0,0.0006,0.0,0.0,0.0469,0.0045,0.0,0.0,0.0412,0.0,0.0,0.0436,0.0,0.0,0.0,0.024,0.0,0.0,0.2733,0.1706,0.081,0.0,0.0,16623.0,0.4524,0.0771,0.3214,0.0413,0.0179,0.0034,0.0208,0.0158,0.0501,0.6083,1,7763.0,,7012.0,7705.0,9870.0,11390.0,11919.0,,,,,,0.3814,,0.5945,,0.3965,0.1951,0.3324,PrivacySuppressed,PrivacySuppressed,0.55743349,,0.191105333,33300,0.564144731,8.989999771,3.49000001,5.0
108,104911,1218400,12184,International Academy of Hair Design,Mesa,AZ,www.intlacademyaz.com/,www.intlacademyaz.com/,0,1,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.3667,0.1571,0.3857,0.0095,0.0286,0.0048,0.0286,0.0,0.019,0.0,0,,15463.0,,,,,,15423.0,19268.0,,,,0.7182,,0.6349,,,0.7656,0.3905,11833,131.3705577,0.583333333,,0.660690746,20100,0.303030312,8.100000381,2.970000029,3.0
114,105206,1186400,11864,Mohave Community College,Kingman,AZ,www.mohave.edu,www.mohave.edu/admissions/financialaid,0,1,1,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0492,0.0291,0.0134,0.0011,0.0,0.0,0.0,0.0045,0.0034,0.1488,0.0,0.0089,0.0034,0.0,0.0302,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0,0.0,0.0067,0.0515,0.0224,0.0123,0.1801,0.3289,0.0984,0.0,0.0,4759.0,0.7375,0.0116,0.1769,0.0137,0.0212,0.0069,0.0177,0.0,0.0145,0.713,1,11346.0,,11125.0,11786.0,11808.0,15218.0,,,,,,,0.4772,,0.5286,,0.4423,0.2421,0.4639,13250,147.1021625,0.381893861,,0.29601087,26700,0.414420962,9.840000153,3.700000048,4.0
125,105543,2217103,22171,Pima Medical Institute-Albuquerque,Albuquerque,NM,pmi.edu,pmi.edu,0,1,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,930.0,0.2398,0.0204,0.5161,0.0129,0.14300000000000002,0.0,0.0226,0.0,0.0452,0.0,1,,15231.0,,,,,,15092.0,15609.0,18038.0,21205.0,21205.0,0.6183,,0.7288,,,0.7193,0.5387,9498,105.4472709,0.614709852,,0.61872547,27600,0.512696266,9.489999771,3.650000095,4.0
