UNITID,INSTNM,NPT4_PUB,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,RET_FTL4,RET_PTL4,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,POOR_Prop,Tot_Grant,Avg_Income_Low,Tot_Students,GG_NO_re
155186,Highland Community College,5007,4194,4543,5492,6691,0.5568,0.1871,11000,122.12255,0.567721006,0.318078437,33200,0.50879252,0.42295082,8848109,159380,5086,0.06825666
202657,EHOVE Career Center,10405,9705,10452,11188,12554,0.7519,0.8413,7000,77.71435,0.640378549,0.803848958,32400,0.555555582,0.37962963,659133,212362,510,0.064814788
239372,Moraine Park Technical College,10969,8954,9316,11790,13773,0.7415,0.5962,9625,106.8572313,0.72691397,0.433719277,33000,0.540456414,0.4,5317771,248326,10602,0.059543586
169974,Glen Oaks Community College,5915,5072,5682,7308,8693,0.5756,0.4474,5335,59.22943675,0.577889447,0.261516667,24900,0.438172042,0.504761905,2403194,175046,1486,0.057066053
128258,Trinidad State Junior College,10875,9896,11112,12055,12789,0.5792,0.4,6500,72.163325,0.542242704,0.54998,25000,0.42151162,0.521428571,4627422,138154,2515,0.057059809
403469,Frontier Community College,1160,38,473,4246,4557,0.7632,0.44,4813,53.43416665,0.698529412,0.433366667,22900,0.398058265,0.551724138,2433790,403507,7860,0.050217597
128577,Asnuntuck Community College,6279,5242,5608,6322,9777,0.7558,0.5125,5500,61.061275,0.658227848,0.40337563,32400,0.525139689,0.425742574,3448330,133819,2519,0.049117737
174473,Northland Community and Technical College,12174,9745,10493,13486,15197,0.5418,0.4815,15750,174.8572875,0.698275862,0.310618468,34500,0.645161271,0.307692308,5479000,184218,5215,0.047146421
157304,Madisonville Community College,5838,5049,5145,7216,9259,0.6445,0.4141,10481,116.3605861,0.643391521,0.436274504,26800,0.427244574,0.530120482,8133114,162353,6643,0.042634944
154642,Allen County Community College,5758,4287,5507,7010,8545,0.5761,0.1813,8298,92.1248109,0.532381998,0.30010756,29300,0.498550713,0.460377358,4190554,158929,4578,0.041071929
403487,Wabash Valley College,878,-395,889,2109,5015,0.6165,0.0667,3500,38.857175,0.735294118,0.472177778,28900,0.454225361,0.50877193,3890098,403092,18739,0.037002709
167871,Southeastern Technical Institute,8688,7588,613,5013,15113,0.8824,0.9231,8391,93.15730155,0.734177215,0.82905641,39400,0.764705896,0.2,298431,175459,137,0.035294104
126915,Delta Montrose Technical College,6820,5974,5839,7103,11003,0.8667,0.914,4750,52.7347375,0.661417323,0.940507937,23600,0.567307711,0.4,391412,132889,840,0.032692289
240198,Wisconsin Indianhead Technical College,10053,8582,9040,11564,13061,0.6795,0.7869,8000,88.8164,0.70928382,0.448360389,32100,0.533916831,0.440860215,5968106,248780,5914,0.025222954
