,UNITID,INSTNM,SATVR25,SATVR75,SATMT25,SATMT75,SATVRMID,SATMTMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTCMMID,ACTENMID,ACTMTMID,SAT_AVG,SAT_AVG_ALL,NPT4_PUB,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,RET_FT4,RET_PT4,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,POOR_Prop,Tot_Grant,Avg_Income_Low,Tot_Students,GG_NO_re
0,212160,Edinboro University of Pennsylvania,2.6944409873109785e-05,3.417591833311224e-05,2.6944409873109785e-05,3.417591833311224e-05,3.0560164103111016e-05,3.0560164103111016e-05,1.1082023751009776e-06,1.4369073051010897e-06,1.0424613891009553e-06,1.4369073051010897e-06,1.0424613891009553e-06,1.4369073051010897e-06,1.3054253331010448e-06,1.2396843471010225e-06,1.2396843471010225e-06,6.112972259312144e-05,6.112972259312144e-05,0.0010172666229774474,0.0007994667363593731,0.0008687577356033967,0.0010557908407734604,0.0012287553749395195,0.0012610341990655304,3.8136345978612996e-08,0.0,0.0017749972276137056,1.9696817880882414e-05,4.152719155195701e-08,1.8078439092285877e-08,0.00222861003101386,2.412293153038025e-08,1.0313201721661512e-08,1.0,0.014747074326124127,0.0005244064509352794,3.1216920497710406e-09
1,174358,Minnesota State University-Moorhead,3.933368200774993e-05,4.895158891979762e-05,4.195674752921748e-05,5.1574654441265175e-05,4.414263546377378e-05,4.6765700985241326e-05,1.7364095333816345e-06,2.1735871202928935e-06,1.6489740159993827e-06,2.0861516029106418e-06,1.6489740159993827e-06,2.1735871202928935e-06,1.99871608552839e-06,1.9112805681461382e-06,1.9112805681461382e-06,9.170755691971878e-05,9.170755691971878e-05,0.0012616822150116305,0.0008959394458016711,0.0009898451914702095,0.0011982040293921157,0.001488489947101192,0.001508949858168639,4.6875543900905684e-08,4.259994710091357e-08,0.002015857270192244,2.236798395871528e-05,6.35418150685794e-08,2.8207376057387263e-08,0.0032351018423290544,4.630265869669163e-08,0.0,1.0,0.016141021385536337,0.0006837334451149459,4.230415895353113e-09
2,219082,Dakota State University,9.474686869093074e-05,0.0001468767183671116,0.00010422502317750908,0.00013028994801559952,0.00012081179352902117,0.0001172574855965543,4.467447206272064e-06,5.6522165170943565e-06,3.756585619778688e-06,5.415262654929898e-06,4.230493344107605e-06,5.889170379258815e-06,5.17830879276544e-06,4.704401068436523e-06,5.17830879276544e-06,0.00023928872461125041,0.00023928872461125041,0.0034194465087204477,0.002543428080298445,0.0028896176729207184,0.0036156443065926192,0.003834589675232579,0.0039213147887847705,1.2943807008245674e-07,7.062612149323815e-08,0.00590793596917159,6.555590934016352e-05,1.6430964159196813e-07,7.279667171137584e-08,0.008862039768775894,1.2290778087419965e-07,0.0,1.0,0.05445575411101234,0.0011593805713958428,1.0017556732317235e-08
3,201885,University of Cincinnati-Main Campus,4.21365509030997e-06,5.331926475504535e-06,4.385696841878365e-06,5.50396822707293e-06,4.772790782907253e-06,4.944832534475647e-06,1.8787810360953498e-07,2.394906290800534e-07,1.8787810360953498e-07,2.394906290800534e-07,1.964801911879547e-07,2.394906290800534e-07,2.1368436634479416e-07,2.1368436634479416e-07,2.222864539232139e-07,9.813614103861215e-06,9.813614103861215e-06,0.00018650049296460252,0.00013729655201604165,0.00015468137101202792,0.00018661232010312197,0.00020649174449684996,0.00020982075238969842,5.911263393159621e-09,3.854504253159463e-09,0.00020599712446109085,2.2856377383632286e-06,5.126321869378311e-09,3.4907779432519664e-09,0.0003389208827666218,4.30027357549227e-09,0.0,1.0,0.0018739290027853094,0.0003432391307309885,1.9834465582999413e-10
4,203517,Kent State University at Kent,4.751231106050207e-06,5.762522459005788e-06,4.751231106050207e-06,5.762522459005788e-06,5.256876782527998e-06,5.256876782527998e-06,2.0042001775009392e-07,2.5098458539787297e-07,1.903071042205381e-07,2.5098458539787297e-07,2.0042001775009392e-07,2.5098458539787297e-07,2.3075875833876133e-07,2.2064584480920553e-07,2.3075875833876133e-07,1.0596495126133464e-05,1.0596495126133464e-05,0.0001946616342775787,0.00015541341686937262,0.00017085583582900435,0.0002031261429018169,0.00021994391810146823,0.00022334185704739898,6.023526136854432e-09,2.852116453985731e-09,0.00026520931905976003,2.9425492767069856e-06,5.143624052106212e-09,3.387341057519972e-09,0.00037013079692890154,4.121790189054339e-09,4.763648174347092e-10,1.0,0.002213563239663982,0.0003503398251515608,0.0
5,204024,Miami University-Oxford,6.486154907441517e-06,7.807723844408063e-06,6.966725429974806e-06,8.16815173630803e-06,7.146939375924789e-06,7.567438583141418e-06,2.988094298254156e-07,3.588807451420768e-07,2.988094298254156e-07,3.829092712687413e-07,2.988094298254156e-07,3.4686648207874456e-07,3.3485221901541236e-07,3.4686648207874456e-07,3.228379559520801e-07,1.4896139051774082e-05,1.4896139051774082e-05,0.0002915485746111255,0.00019948327675681053,0.000238337403503627,0.0002924856871300654,0.0003130180627053002,0.0003206351054874528,9.214028667936418e-09,1.046711630544197e-08,0.000300355029436548,3.3330265842988006e-06,7.418750590114839e-09,8.106714433341504e-09,0.0005502517011538585,6.749799930913315e-09,0.0,1.0,0.0026506812839901064,0.00024482510555782637,6.230228587481206e-10
6,199218,University of North Carolina Wilmington,1.6531923833753137e-05,1.8981097735049898e-05,1.7144217309077326e-05,1.9287244472711992e-05,1.7756510784401518e-05,1.821573089089466e-05,6.735228228566093e-07,7.959815179214473e-07,6.429081490903997e-07,7.959815179214473e-07,6.735228228566093e-07,7.959815179214473e-07,7.347521703890283e-07,7.347521703890283e-07,7.347521703890283e-07,3.532933352620578e-05,3.532933352620578e-05,0.00041691062734824116,0.0002436315738314953,0.00028395109918159323,0.0004023074279617592,0.000519469784465043,0.0005427981658748947,2.645107813400502e-08,0.0,0.000631397031754305,7.009801416387882e-06,2.6191260827070716e-08,2.1375228932703588e-08,0.0011847878747523082,1.9570436909662986e-08,5.588392844432301e-09,1.0,0.006342625652188222,0.00048732437701052303,5.4558440121142264e-09
7,216038,Slippery Rock University of Pennsylvania,2.686767897721409e-05,3.22432989840707e-05,2.8062261200960004e-05,3.284059009594366e-05,2.9555488980642395e-05,3.0451425648451832e-05,1.1244320554896519e-06,1.3633485002388346e-06,1.064702944302356e-06,1.4230776114261302e-06,1.064702944302356e-06,1.4230776114261302e-06,1.2438902778642432e-06,1.2438902778642432e-06,1.2438902778642432e-06,5.983814835260131e-05,5.983814835260131e-05,0.001054029204065138,0.0007459464485610668,0.0008261029157744177,0.0010272108331420423,0.0012118932449331605,0.0012559733289893846,3.8771838904890644e-08,4.930805411832961e-08,0.0015361924541245824,1.7044580074834715e-05,4.238811440845565e-08,2.6783948020923633e-08,0.0023294249152474625,2.8411835320694225e-08,0.0,1.0,0.013649704171242052,0.0005867683672469238,5.41046597032308e-11
8,161244,University of Maine at Machias,0.00011642871699257653,0.0001505196277389876,0.00011642871699257653,0.00014767871851012002,0.00013347417236578206,0.00013205371775134827,5.065075220967086e-06,7.0537116811743976e-06,4.7809842980803276e-06,6.7696207582876385e-06,4.7809842980803276e-06,7.621893526947916e-06,6.201438912514121e-06,5.917347989627362e-06,6.201438912514121e-06,0.00026614463335389847,0.00026614463335389847,0.002594553837333774,0.0020189856275652004,0.002535747016296215,0.0029786447650766716,0.0037385879837987515,0.004001940269314777,1.3851248172635843e-07,1.4084202729402986e-07,0.00603688354995263,6.697376075574792e-05,1.4504131187295295e-07,3.8430239934407646e-08,0.007670406356551493,6.570982023641466e-08,7.269692966662748e-08,1.0,0.04782694239751774,0.0003456900917621909,0.0
9,230603,Southern Utah University,2.8368081201806692e-05,3.440603803401386e-05,2.7764285518585974e-05,3.500983371723458e-05,3.1387059617910275e-05,3.1387059617910275e-05,1.1972754568744197e-06,1.55955286680685e-06,1.1972754568744197e-06,1.55955286680685e-06,1.0765163202302762e-06,1.4991732984847782e-06,1.378414161840635e-06,1.378414161840635e-06,1.318034593518563e-06,6.435430392176143e-05,6.435430392176143e-05,0.0008655911755556531,0.0007435036884084241,0.0007836561013426017,0.0008964451349682317,0.0009651570837187493,0.0009904561228456974,2.8767785007862313e-08,2.0441442536248624e-08,0.0008000189643578832,8.87164916142623e-06,4.0623411425079184e-08,1.9179135989928113e-08,0.0022461096256715008,2.3652733258713834e-08,5.779106362313764e-09,1.0,0.014667213282183128,0.0008860598492168354,0.0
