"","INSTNM","POOR_Prop"
"1","Alabama A & M University",0.655683690280066
"2","University of Alabama at Birmingham",0.348264277715566
"3","Amridge University",0.777777777777778
"4","University of Alabama in Huntsville",0.329931972789116
"5","Alabama State University",0.717660292463442
"6","The University of Alabama",0.277083333333333
"7","Central Alabama Community College",0.899182561307902
"8","Athens State University",NA
"9","Auburn University at Montgomery",0.435443037974684
"10","Auburn University",0.242105263157895
"11","Birmingham Southern College",0.130268199233716
"12","Chattahoochee Valley Community College",0.648745519713262
"13","Concordia College Alabama",0.653846153846154
"14","South University-Montgomery",0.714285714285714
"15","Enterprise State Community College",0.656565656565657
"16","James H Faulkner State Community College",0.575671852899576
"17","Faulkner University",0.392857142857143
"18","Gadsden State Community College",0.931133428981349
"19","New Beginning College of Cosmetology",0.75
"20","George C Wallace State Community College-Dothan",0.764044943820225
"21","George C Wallace State Community College-Hanceville",0.828220858895706
"22","George C Wallace State Community College-Selma",0.888888888888889
"23","Herzing University-Birmingham",0.653846153846154
"24","Huntingdon College",0.274678111587983
"25","Heritage Christian University",1
"26","J F Drake State Community and Technical College",0.87037037037037
"27","Jacksonville State University",0.455667789001122
"28","Jefferson Davis Community College",0.744360902255639
"29","Jefferson State Community College",0.629577464788732
"30","John C Calhoun State Community College",0.583802024746907
"31","Judson College",0.426470588235294
"32","Lawson State Community College-Birmingham Campus",0.80244399185336
"33","University of West Alabama",0.545454545454545
"34","Lurleen B Wallace Community College",0.771653543307087
"35","Marion Military Institute",0.311111111111111
"36","Miles College",0.706976744186047
"37","University of Mobile",0.228070175438596
"38","University of Montevallo",0.332344213649852
"39","Northwest-Shoals Community College",0.67787610619469
"40","University of North Alabama",0.478632478632479
"41","Northeast Alabama Community College",0.692982456140351
"42","Oakwood University",0.401869158878505
"43","Alabama Southern Community College",0.805309734513274
"44","Prince Institute-Southeast",0.444444444444444
"45","Reid State Technical College",0.85
"46","Bishop State Community College",0.901408450704225
"47","Samford University",0.160377358490566
"48","Selma University",0.882352941176471
"49","Shelton State Community College",0.737044145873321
"50","Snead State Community College",0.896774193548387
"51","University of South Alabama",0.408730158730159
