"INSTNM","PREDDEG","HCM2","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","NPT4_PUB","NPT4_PRIV","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","RET_FT4","RET_FTL4","RET_PT4","RET_PTL4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_L4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"A & W Healthcare Educators",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A T Still University of Health Sciences",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199600,0.980769217,NA
"Aaniiih Nakoda College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9530,NA,10517,5024,3359,NA,NA,NA,NA,NA,NA,NA,NA,0.5439,NA,0.6667,NA,NA,NA,NA,0.402581818,20300,0.206349209,0.840909090909091
"Aaron's Academy of Beauty",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9385,NA,NA,NA,NA,NA,9157,10361,11777,NA,NA,NA,0.5789,NA,1,NA,NA,0.405405405,NA,0.763168421,NA,0.274509817,0.842105263157895
"ABC Beauty Academy",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5248,NA,NA,NA,NA,NA,5377,5933,3533,NA,NA,NA,0.4286,NA,NA,NA,NA,NA,NA,0.954842938,NA,NA,0.8
"ABC Beauty College Inc",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4923,NA,NA,NA,NA,NA,4923,NA,NA,NA,NA,NA,0.5455,NA,NA,16500,183.183825,0.236842105,NA,0.608717391,NA,NA,1
"Abcott Institute",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11320,NA,NA,NA,NA,NA,11320,NA,NA,NA,NA,NA,0.8514,NA,0.8571,6333,70.30928265,NA,NA,0.8675,NA,NA,1
"Abdill Career College Inc",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21353,NA,NA,NA,NA,NA,21015,22297,22147,23847,23714,NA,NA,NA,NA,9500,105.469475,0.540372671,NA,0.565201449,NA,0.430555552,0.773584905660377
"Abilene Christian University",3,0,470,580,490,600,450,560,525,545,505,21,27,21,27,21,27,6,8,24,24,24,7,1087,1087,NA,24106,NA,NA,NA,NA,NA,20836,21230,22504,25333,27831,0.7941,NA,NA,NA,26237.5,291.2900369,0.847839318,0.578468615,NA,40200,0.636507928,0.217241379310345
"Abington Memorial Hospital Dixon School of Nursing",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16035,178.0213718,0.883333333,NA,NA,NA,0.984848499,NA
"Abraham Baldwin Agricultural College",2,0,410,500,400,490,NA,NA,455,445,NA,16,21,15,21,16,21,NA,NA,19,18,19,NA,897,897,9477,NA,7887,8862,10959,12342,12946,NA,NA,NA,NA,NA,0.604,NA,0.1667,NA,13500,149.877675,0.588881707,0.16227673,NA,31900,0.520815611,0.432915921288014
"Academia Serrant Inc",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5868,NA,NA,NA,NA,NA,5690,6629,7639,7059,NA,NA,0.8478,NA,NA,NA,NA,NA,NA,0.719672727,12100,0.170984462,0.852459016393443
"Academy College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23321,NA,NA,NA,NA,NA,21629,NA,NA,26704,NA,NA,NA,1,NA,36387,403.9702934,0.48,0.44262623,NA,38300,0.530973434,0.666666666666667
