UNITID,INSTNM,gt_25k_p6,poverty_rate,rank
1,210456,Abington Memorial Hospital Dixon School of Nursing,0.984848499,5.53000021,0.726012650549249
2,215479,Joseph F McCloskey School of Nursing at Schuylkill Health,0.960784316,7.099999905,0.447666415144833
3,193122,Southern Westchester BOCES-Practical Nursing Program,0.867346942,18.28000069,0.274326843583943
4,442781,Tohono O'Odham Community College,0.641025662,41.65999985,0.138323717492764
5,433165,Blessing Hospital School of Medical Laboratory Technology,0.933333337,7.380000114,0.0966576968808972
6,431770,Putnam Westchester BOCES-Practical Nursing Program,0.888888896,11.96000004,0.0709773944114467
7,185624,Mountainside School of Nursing,0.934426248,6.489999771,-0.0103814224002079
8,211635,Citizens School of Nursing,0.920000017,7.300000191,-0.0958901494089015
9,418083,Rockland County BOCES-Practical Nursing Program,0.876923084,10.64999962,-0.155651834661756
10,128726,Bridgeport Hospital School of Nursing,0.917910457,6.559999943,-0.251364995629239
11,158325,Baton Rouge General Medical Center-School of Nursing,0.855555534,11.28999996,-0.279401829156429
12,411684,Marian Health Careers Center-Los Angeles Campus,0.767567575,17.11000061,-0.358459478161293
13,423397,Professional Electrical School Inc,0.279569894,51.65000153,-0.394830754422245
14,213163,Jameson Health System,0.884615362,7.980000019,-0.445922778512214
15,243799,Blue Hills Regional Technical School,0.896551728,7.090000153,-0.459072916327481
16,430971,Delaware County Technical School-Practical Nursing Program,0.824561417,11.93999958,-0.469334917681798
17,420255,Escuela de Peritos Electricistas de Isabela Inc,0.230769232,52.29999924,-0.470804549097734
18,444680,Institute of Beauty Occupation and Technology Course,0.165803105,55.27999878,-0.509039278962155
19,417910,Veeb Nassau County School of Practical Nursing,0.828877032,11.27999973,-0.517047624964793
20,445498,Colegio Tecnico de Electricidad Galloza,0.188679248,53.24000168,-0.523893175053709
21,431123,Escuela Tecnica de Electricidad,0.252485096,48.50999832,-0.540950174990647
22,418676,Carlos F Daniels Area Vocational School,0.23292917,49.63999939,-0.545267605612676
23,376242,Colegio Mayor de Tecnologia Inc,0.194078952,51.86999893,-0.553732532533137
24,418773,D'Mart Institute,0.15463917,53.29999924,-0.586042855635883
25,213622,St Margaret School of Nursing,0.877358496,7.449999809,-0.646194726768213
26,421896,Academia Serrant Inc,0.170984462,50.29999924,-0.648142247566364
27,111638,Casa Loma College-Van Nuys,0.753501415,14.93000031,-0.651028666321575
28,232724,Danville Regional Medical Center School of Health Professions,0.822222233,10.76000023,-0.652209695166522
29,242316,Instituto de Educacion Tecnica Ocupacional La Reine-Manati,0.132295713,52.25,-0.660678061244019
30,414461,Mech-Tech College,0.224401921,46.31999969,-0.674434551361716
