UNITID,F1E01,F1E02,F1E05,F1E06,F1B16
100654,14316104,1776313,0,218186,0
100663,17539067,12656531,8705205,36781436,43981418
100706,7395098,124697,2914422,10942577,1655115
100724,17697030,299073,2800609,15747501,356024
100733,,,,,0
100751,26082224,2802441,13864748,141278896,56587991
100760,5005503,0,0,1392184,0
100812,5290802,208206,0,1099517,0
100830,8005304,143910,512505,6549599,838122
100858,14032340,623096,23852573,81534407,35784224
101028,5610857,0,0,783584,942
101143,4993205,124048,1469,1254604,47725
101161,9503650,234790,0,2697260,0
101240,13705930,0,443226,1371045,0
101286,11450111,280803,0,1701458,14744
101295,11616691,215363,0,1675043,106797
101301,5861951,95055,0,503892,15263
101462,3768378,226002,70916,537624,37892
101471,0,0,0,2335543,0
101480,14276790,0,0,17079674,0
101499,2814823,63154,43675,1205866,89373
101505,12112990,345890,100806,1901839,44179
101514,18113133,573265,0,1807235,0
101569,9715859,264556,0,1374456,0
101587,4740855,2680785,0,266578,0
101602,4172535,101673,0,1011477,36269
101648,771790,35069,0,2045349,587748
101709,4694237,200200,620934,7353254,0
101736,9006610,251141,0,1003186,0
101879,9587620,180115,0,8030365,0
101897,7216854,151194,0,1006380,3186
101949,2986641,216888,0,1569445,0
101994,993990,345571,0,354403,0
102030,10896196,370633,0,977500,0
102067,10208477,203931,362691,2162702,75700
102076,6100422,38228,66976,1945112,141290
102094,19094000,1451000,2968000,19892000,16313000
102313,2397696,72393,0,270332,6000
102368,27636618,540707,941961,21468662,0
102429,8870647,208812,0,1227598,0
102553,15596986,1040632,497404,7521170,0
102614,7190689,1857090,480118,6003210,0
102632,1821528,550547,74689,771359,0
102711,406159,0,0,206583,0
103529,,,,,0
104151,97576000,7096000,20236000,227663000,64928000
104160,17164627,545348,7760,2145190,0
104179,47323000,869000,23411000,177488000,78287000
104346,12566830,257954,917940,2286383,334269
104425,6080858,290541,0,535687,0
104577,4885575,324044,2518269,0,0
104708,31578283,619950,4264695,0,877922
105136,,,,,0
105145,8772180,163518,1106235,0,306954
105154,30924474,652870,4460057,0,1451256
105206,9002602,817136,0,0,0
105297,4686348,160692,410906,0,0
105330,35066762,3578708,6193162,62698618,10919359
105349,2650323,65952,12359,1926102,0
105428,22657095,395375,2701937,0,958414
105525,35990658,1190009,1115825,947295,861085
105668,17021087,87910,4165137,0,7533636
105747,8406641,176813,1675385,0,643014
105792,9765117,128670,1629443,0,1095586
106148,10661254,160671,0,838370,761844
106245,16111681,1592958,1065701,18738594,4912231
106263,1197000,410000,755000,1158000,25062000
106397,20902738,937253,22998483,22473056,65609191
106412,8483115,872761,643873,5460646,609732
106449,5574061,200900,232589,1490944,0
106458,20128869,1675995,12488,17805622,1206187
106467,20501097,223721,3433173,10565664,0
106485,8768422,283249,842593,5782089,4509
106625,6048560,136028,126560,685732,1500
106704,17302885,401625,3554254,19957413,400698
106795,2955139,132174,74010,73854,72796
106829,1056833,0,0,0,0
106883,2400517,141286,10700,42612,203319
106980,7720583,138136,358902,1641349,0
106999,3425967,60766,7500,273784,0
107071,7786113,69304,0,8092975,397857
107318,4167972,191864,118394,518085,126841
107327,2384094,441851,147800,41599,179850
107460,5886783,119042,243839,456810,613739
107488,520070,0,42593,0,7927
107521,2328946,24300,244593,19788,0
107549,4509248,84283,0,493334,0
107585,5031819,119020,176405,350411,8624
107619,3302043,106089,358146,340149,0
107637,4971097,211718,37753,170518,0
107664,28650903,285239,0,3972231,202883
107725,3596773,0,61678,152047,0
107743,1729148,160995,142655,314512,0
107974,4135139,50831,212246,261358,711473
107983,6731155,162648,0,6851468,599473
107992,2297201,86454,0,1371939,0
108056,,,,,0
108092,15303065,382916,1137954,6464701,0
108667,6279989,241800,2926014,0,0
108807,10643192,273919,0,1159406,136796
109208,33722163,1651400,9868,3240,96000
109350,31511211,16575976,0,2,0
109819,27206690,226972,0,0,0
109907,7160098,199622,0,0,0
110246,24246879,445102,0,8230260,0
110334,13226978,3420723,0,6329550,0
110398,0,0,1174121,13283335,3898462
110422,16465097,875243,9167110,20484599,16452544
110486,21805215,202982,401073,16544783,1047108
110495,21191879,304742,591465,19786099,714818
110501,,,,,8300
110510,45862804,428090,42536,39479108,50748
110529,44154401,450881,2570359,31969041,3367000
110538,30851957,805844,1563240,29184787,1587579
110547,32868054,632429,937402,28715149,1064191
110556,54806956,554378,0,43381013,3943182
110565,64544230,455863,481217,51792669,567306
110574,26971181,542171,0,24218334,1525089
110583,69778508,777519,6188351,53632588,7338106
110592,59695012,717367,18891,45153489,29130
110608,79814790,985301,4755333,65929945,4852779
110617,62655397,799895,0,47873045,591530
110635,38964000,37914434,60976371,189393877,184112000
110644,50979000,13516117,14960447,150072367,64387000
110653,50136000,7812556,4625308,110865499,38117000
110662,48265000,29371172,46381832,207075085,267997000
110671,50049000,5252216,2826978,85985635,13915000
110680,43621000,24425687,13763270,126210116,74707000
110699,0,9325198,7951008,26880866,157261000
110705,34094000,6772381,6738522,101227349,38903000
110714,32994000,2163974,2862029,70200951,9661000
111188,1648569,66930,406540,1693628,476190
111434,3691538,468554,175826,0,0
