UNITID,NPT41_PUB,NPT41_PRIV,NPT41_PROG,NPT41_OTHER,COSTT4_A,COSTT4_P,UGDS
100654,12683,NULL,NULL,NULL,18888,NULL,4051
100663,12361,NULL,NULL,NULL,19990,NULL,11200
100690,NULL,6736,NULL,NULL,12300,NULL,322
100706,14652,NULL,NULL,NULL,20306,NULL,5525
100724,12342,NULL,NULL,NULL,17400,NULL,5354
100751,17206,NULL,NULL,NULL,26717,NULL,28692
100760,6330,NULL,NULL,NULL,12103,NULL,1779
100812,NULL,NULL,NULL,NULL,NULL,NULL,2999
100830,9044,NULL,NULL,NULL,16556,NULL,4322
100858,13191,NULL,NULL,NULL,23788,NULL,19761
100937,NULL,15741,NULL,NULL,44512,NULL,1181
101028,1110,NULL,NULL,NULL,6800,NULL,1769
101073,NULL,11727,NULL,NULL,17655,NULL,523
101116,NULL,22286,NULL,NULL,28525,NULL,599
101143,4486,NULL,NULL,NULL,10193,NULL,1984
101161,6474,NULL,NULL,NULL,11921,NULL,4182
101189,NULL,18130,NULL,NULL,28485,NULL,2358
101240,4516,NULL,NULL,NULL,10247,NULL,5480
101277,NULL,8651,NULL,NULL,NULL,13482,89
101286,2386,NULL,NULL,NULL,8140,NULL,4293
101295,6299,NULL,NULL,NULL,10822,NULL,4904
101301,8692,NULL,NULL,NULL,14835,NULL,1604
101365,NULL,22202,NULL,NULL,26656,NULL,318
101435,NULL,16288,NULL,NULL,31433,NULL,1100
101453,NULL,9346,NULL,NULL,21160,NULL,67
101462,7136,NULL,NULL,NULL,12217,NULL,1040
101480,14021,NULL,NULL,NULL,19202,NULL,7195
101499,3648,NULL,NULL,NULL,9149,NULL,1037
101505,7793,NULL,NULL,NULL,12943,NULL,7494
101514,3925,NULL,NULL,NULL,9829,NULL,9970
101541,NULL,15101,NULL,NULL,27815,NULL,331
101569,7320,NULL,NULL,NULL,12602,NULL,2894
101587,12131,NULL,NULL,NULL,17959,NULL,1988
101602,7829,NULL,NULL,NULL,13204,NULL,1372
101648,7846,NULL,NULL,NULL,16520,NULL,411
101675,NULL,14741,NULL,NULL,21336,NULL,1663
101693,NULL,14149,NULL,NULL,30108,NULL,1472
101709,12723,NULL,NULL,NULL,20209,NULL,2610
101736,4021,NULL,NULL,NULL,9111,NULL,3235
101879,11270,NULL,NULL,NULL,15058,NULL,5536
101897,2219,NULL,NULL,NULL,7860,NULL,2376
101912,NULL,25558,NULL,NULL,34705,NULL,1854
101949,4737,NULL,NULL,NULL,10701,NULL,1218
101958,NULL,20413,NULL,NULL,24676,NULL,102
101994,5081,NULL,NULL,NULL,9693,NULL,414
102030,5100,NULL,NULL,NULL,10059,NULL,3363
102049,NULL,16298,NULL,NULL,38835,NULL,2995
102058,NULL,8389,NULL,NULL,11187,NULL,447
102067,8186,NULL,NULL,NULL,13007,NULL,4859
102076,3788,NULL,NULL,NULL,9622,NULL,2161
102094,10165,NULL,NULL,NULL,17125,NULL,11048
102234,NULL,14705,NULL,NULL,43325,NULL,1269
102261,NULL,10494,NULL,NULL,19127,NULL,160
102270,NULL,17075,NULL,NULL,24744,NULL,863
