UNITID,RRFTCT,RET_PCF,STUFACR 
100654,1066,66,20
100663,1730,83,18
100690,3,0,10
100706,638,77,16
100724,1518,57,16
100751,6428,87,21
100760,470,49,17
100812,,,16
100830,589,65,15
100858,3693,91,17
100937,356,84,13
101028,333,53,18
101073,147,52,18
101116,16,50,10
101143,340,50,18
101161,1078,60,25
101189,287,60,18
101240,1143,53,18
101277,39,82,19
101286,840,56,19
101295,997,63,16
101301,371,61,14
101365,2,0,13
101435,261,70,15
101453,7,57,6
101462,142,39,15
101471,246,65,12
101480,1142,72,19
101499,246,52,16
101505,1053,56,20
101514,1225,58,25
101541,66,56,9
101569,585,50,18
101587,355,65,15
101602,410,60,17
101648,249,35,17
101675,404,52,17
101693,258,77,12
101709,519,79,16
101736,668,59,22
101879,953,72,17
101897,538,61,20
101912,364,76,14
101949,427,59,17
101958,4,25,13
101994,68,57,14
102030,835,41,20
102049,755,88,12
102058,190,35,15
102067,877,60,21
102076,656,62,21
102094,1825,71,20
102234,431,73,13
102261,11,82,13
102270,163,67,17
102298,256,45,20
102313,201,55,13
102368,1613,75,15
102377,645,72,13
102395,,,8
102429,753,61,17
102553,991,72,19
102580,3,33,7
102614,468,78,14
102632,60,72,15
102669,31,77,7
102711,180,100,15
102845,0,,28
103501,102,79,17
103644,1,100,22
103723,,,10
103732,10,80,10
103741,58,68,16
103778,,,20
103787,14,43,9
103811,,,8
103893,132,77,39
103909,100,79,43
103927,84,77,64
103945,2,50,22
103954,3,67,20
103963,154,67,22
104090,123,42,35
104151,7114,86,22
104160,844,60,21
104179,6272,82,20
104188,13,77,9
104346,544,48,17
104364,2,100,11
104391,85,95,18
104425,494,56,16
104434,29,72,20
104443,27,67,12
104504,41,76,25
104568,159,70,17
104577,502,56,20
104586,443,82,16
104708,2057,60,21
104717,1554,62,19
104911,71,63,22
105145,334,56,13
105154,1942,59,20
105163,0,,21
105172,0,,25
105206,231,50,14
105215,275,75,23
105297,5,80,15
105330,4348,74,18
105349,54,43,10
105367,0,,6
105428,733,55,17
105482,,,20
105525,2675,58,25
105534,69,74,25
105543,221,68,25
105589,40,68,9
105659,201,72,34
105668,172,25,20
105677,,,6
105701,46,70,15
105747,898,64,17
105792,439,60,17
105899,90,72,15
105987,134,81,17
106041,449,73,35
106102,2,100,14
106111,36,67,15
106148,440,50,18
106245,633,71,13
106263,,,7
106281,16,50,9
106306,22,36,23
106315,7,71,12
106324,19,47,10
106342,174,74,14
106351,14,86,12
106360,9,78,15
106397,4300,83,19
106412,557,62,15
106449,779,56,17
106458,1575,75,17
106467,1380,67,20
106485,502,47,17
106494,13,83,17
106546,37,54,13
106625,344,54,16
106704,2177,70,17
106713,76,71,10
106795,255,63,16
106810,44,50,10
106829,85,20,6
106883,224,46,16
106892,,,32
106908,58,79,17
106980,410,56,26
106999,258,60,17
107044,1030,82,16
107071,698,60,17
107080,435,87,11
107099,9,89,8
107123,,,10
107141,303,84,15
107211,8,63,17
107220,166,77,11
107293,36,75,14
107318,238,49,14
107327,223,57,14
107363,50,68,25
107442,62,87,20
107460,374,50,16
107488,227,26,5
107512,393,76,13
107521,120,55,15
107549,218,46,16
107558,159,68,12
107585,467,49,20
107600,134,78,10
107619,198,56,12
107637,251,50,14
107655,12,75,20
107664,1053,57,22
107725,235,54,15
107743,137,44,17
107789,12,83,17
107831,1,100,25
107840,74,58,24
107877,154,58,15
107974,161,50,14
107983,658,63,16
107992,207,60,21
108065,16,25,12
108092,853,66,18
108232,624,76,16
108250,0,,14
108348,38,79,5
108649,39,82,19
108667,192,63,26
108807,905,75,24
108852,134,60,12
108977,5,60,25
109040,236,72,29
109086,,,6
109208,1422,70,27
109350,964,75,26
109651,163,76,9
109721,366,69,28
109730,,,14
109785,1217,85,11
109819,1568,70,32
109907,237,42,29
109934,26,92,16
110060,34,82,6
110097,900,87,17
110185,33,82,8
110194,42,86,10
110219,0,,20
110246,1271,70,24
110316,,,11
110334,1025,70,25
110361,967,83,18
110370,232,80,9
110404,248,97,3
110413,540,83,16
110422,4765,93,22
110468,24,83,14
110486,1323,73,26
110495,1181,85,22
110510,2319,88,30
110529,3169,89,22
110538,2316,87,26
110547,1460,80,26
110556,3166,83,25
110565,4512,89,25
110574,1477,81,27
110583,4119,90,25
110592,2895,84,27
110608,5758,77,28
110617,3202,83,27
110635,4677,96,17
110644,5063,93,18
110653,5449,92,19
110662,5684,97,16
110671,4187,90,19
110680,5218,95,19
110705,4597,92,17
110714,3295,89,18
110778,,,12
110875,31,100,18
110918,2,50,3
111009,96,67,30
111054,30,80,16
111081,172,87,7
111188,199,83,14
111434,262,64,25
111461,1587,76,27
111513,32,94,12
111638,46,43,20
111708,39,74,20
111717,103,90,20
111726,83,94,20
111744,28,75,20
111762,30,83,16
111799,28,75,20
111887,1499,63,30
111896,219,52,26
111920,820,76,27
111939,1221,72,26
111948,1284,91,14
111966,4,100,7
112075,373,79,10
112084,91,73,18
112172,1174,68,30
112181,28,89,9
112190,1456,70,20
112260,337,96,8
112288,121,79,10
112367,251,35,23
112385,169,56,42
112394,73,86,14
112446,0,,7
112455,10,90,12
112561,278,57,17
112570,40,70,11
112686,412,62,26
112826,339,63,22
113096,732,73,30
113111,341,66,29
113193,946,66,24
113218,586,72,25
113236,1001,75,25
113333,2517,81,31
113397,267,54,20
113449,43,79,13
113537,0,,10
113573,743,74,29
113582,19,58,10
113634,1408,79,27
113698,305,82,9
113856,1479,73,45
113908,99,63,21
113980,2212,76,28
114044,,,20
114071,75,65,29
114080,80,51,28
114123,293,82,21
114266,560,72,26
114354,124,96,21
114390,38,89,17
114415,113,81,15
114433,186,53,22
114460,50,78,13
114637,0,,20
114716,1046,73,27
114761,24,75,16
114789,2044,67,25
114813,210,81,11
114859,1959,72,29
114938,390,71,23
114947,,,16
115001,1238,72,26
115010,94,66,16
115083,0,,12
115126,1113,71,31
115296,1516,68,28
115357,7,71,14
115393,774,75,31
115409,217,97,8
115454,75,61,23
115472,143,55,25
115490,82,46,34
115515,62,53,16
115533,111,69,24
115658,1,100,15
115728,85,72,9
115755,1344,74,23
115773,31,77,18
115861,1048,66,29
115931,153,86,15
116226,0,,12
116350,67,82,12
116439,1277,79,29
116466,0,,35
116475,0,,29
116484,0,,28
116563,32,81,14
116712,,,5
116846,7,86,5
117052,1741,66,27
117104,45,51,16
117113,137,55,22
117140,561,86,17
117168,67,76,12
117195,120,60,17
117238,9,89,21
117247,395,56,23
117274,167,49,19
