UNITID,EFYTOTLT
100654,5591
100654,4407
100654,1184
100663,21329
100663,13107
100663,8222
100690,985
100690,503
100690,482
100706,8621
100706,6596
100706,2025
100724,6992
100724,6124
100724,868
100751,38918
100751,32392
100751,6526
100760,2617
100760,2617
100812,4391
100812,4391
100830,6268
100830,5266
100830,1002
100858,26555
100858,20760
100858,5795
100937,1225
100937,1225
101028,2587
101028,2587
101073,697
101073,697
101116,1163
101116,1020
101116,143
101143,3265
101143,3265
101161,6635
101161,6635
101189,3888
101189,3205
101189,683
101240,8292
101240,8292
101277,152
101277,152
101286,6509
101286,6509
101295,7262
101295,7262
101301,2829
101301,2829
101365,602
101365,595
101365,7
101435,1417
101435,1417
101453,111
101453,79
101453,32
101462,2131
101462,2131
101471,838
101471,838
101480,10236
101480,8731
101480,1505
101499,1605
101499,1605
101505,13578
101505,13578
101514,16800
101514,16800
101541,380
101541,380
101569,4611
101569,4611
101587,5305
101587,2187
101587,3118
101602,2241
101602,2241
101648,445
101648,445
101675,2019
101675,2019
101693,1951
101693,1766
101693,185
101709,3426
101709,2846
101709,580
101736,5500
101736,5500
101879,8184
101879,6965
101879,1219
101897,3867
101897,3867
101912,2063
101912,2016
101912,47
101949,1893
101949,1893
101958,164
101958,164
101994,752
101994,752
102030,5760
102030,5760
102049,5294
102049,3172
102049,2122
102058,615
102058,585
102058,30
102067,7852
102067,7852
102076,3192
102076,3192
102094,17588
102094,12904
102094,4684
102234,1639
102234,1440
102234,199
102261,201
102261,201
102270,1131
102270,1131
102298,934
102298,934
102313,2123
102313,2123
102368,26232
102368,20437
102368,5795
102377,3158
102377,2611
102377,547
102395,954
102395,312
102395,642
102429,5174
102429,5174
102553,27685
102553,26120
102553,1565
102580,46
102580,46
102614,14851
102614,13372
102614,1479
102632,5713
102632,5092
102632,621
102669,906
102669,534
102669,372
102711,1356
102711,1356
102845,3738
102845,3738
103501,486
103501,486
103644,6572
103644,6572
103723,334
103723,334
103732,63
103732,63
103741,260
103741,260
103778,1225
103778,2
103778,1223
103787,97
103787,97
103811,1036
103811,1036
103893,1117
103893,1117
103909,1199
103909,1199
103927,756
103927,756
103945,270
103945,270
103954,58
103954,58
103963,1009
103963,1009
104090,2115
104090,2064
104090,51
104151,53582
104151,42427
104151,11155
104160,11817
104160,11817
104179,44509
104179,34579
104179,9930
104188,250
104188,243
104188,7
104346,11746
104346,11746
104364,1111
104364,1111
104391,131
104391,131
104425,12701
104425,12701
104434,84
104434,84
104443,175
104443,175
104504,221
104504,221
104568,505
104568,505
104577,9005
104577,9005
104586,1965
104586,1918
104586,47
104665,26
104665,3
104665,23
104708,30926
104708,30926
104717,92552
104717,56742
104717,35810
104911,373
104911,373
105145,10444
105145,10444
105154,36054
105154,36054
105163,940
105163,940
105172,908
105172,908
105206,8106
105206,8106
105215,2807
105215,2807
105297,2079
105297,2079
105330,30303
105330,24637
105330,5666
105349,6865
105349,6865
105367,1158
105367,647
105367,511
105428,19008
105428,19008
105482,149
105482,149
105525,43552
105525,43552
105534,2881
105534,2881
105543,1561
105543,1561
105589,1136
105589,685
105589,451
105659,1048
105659,1048
105668,48333
105668,48333
105677,66
105677,66
105701,83
105701,83
105747,15384
105747,15384
105792,6801
105792,6801
105899,725
105899,725
105987,596
105987,596
106041,3289
106041,3289
106102,2709
106102,1928
106102,781
106111,270
106111,270
106148,11518
106148,11518
106245,15179
106245,11343
106245,3836
106263,3271
106263,990
106263,2281
106281,54
106281,54
106306,1306
106306,1306
106315,52
106315,52
106324,65
106324,65
106342,625
106342,625
106351,258
106351,258
106360,69
106360,69
106397,28005
106397,22724
106397,5281
106412,2923
106412,2794
106412,129
106449,6333
106449,6333
106458,17545
106458,11707
106458,5838
106467,13626
106467,12284
106467,1342
106485,4692
106485,4414
106485,278
106494,86
106494,86
106546,1096
106546,1096
106625,3148
106625,3148
106704,13255
106704,10867
106704,2388
106713,964
106713,964
106795,2217
106795,2217
106810,209
106810,209
106829,368
106829,368
106883,2040
106883,2040
106892,384
106892,384
106908,677
106908,677
106980,4191
106980,4191
106999,1658
106999,1658
107044,7013
107044,4946
107044,2067
107071,4261
107071,3599
107071,662
107080,1446
107080,1432
107080,14
107099,44
107099,44
107123,120
107123,120
107141,2977
107141,2279
107141,698
107211,39
107211,39
107220,494
107220,494
107293,147
107293,147
107318,2506
107318,2506
107327,1963
107327,1963
107363,86
107363,86
107442,94
107442,94
107460,2813
107460,2813
107488,367
107488,367
107512,1631
107512,1631
107521,1953
107521,1953
107549,1948
107549,1948
107558,601
107558,601
107585,2892
107585,2892
107600,669
107600,669
107619,2550
107619,2550
107637,2235
107637,2235
107655,65
107655,65
107664,14406
107664,14406
107725,2069
107725,2069
107743,1337
107743,1337
107789,157
107789,157
107831,151
107831,151
107840,602
107840,602
107877,693
107877,693
107974,2409
107974,2409
107983,4036
107983,3353
107983,683
107992,3449
107992,3449
108065,26
108065,26
108092,8162
108092,8162
108232,19806
108232,13267
108232,6539
108250,841
108250,841
108269,159
108269,159
108348,95
108348,95
108649,297
108649,297
108667,10844
108667,10844
108807,16691
108807,16691
108852,297
108852,297
108861,96
108861,96
108870,349
108870,349
108977,150
108977,150
109040,2940
109040,2940
109086,108
109086,75
109086,33
109208,43334
109208,43334
109350,18817
109350,18817
109651,2664
109651,2407
109651,257
109721,584
109721,584
109730,197
109730,197
109785,12627
109785,7229
109785,5398
109819,24908
109819,24908
109907,4974
109907,4974
109934,265
109934,265
110060,412
110060,303
110060,109
110097,6791
110097,4599
110097,2192
110185,705
110185,677
110185,28
110194,312
110194,312
110219,1912
110219,1826
110219,86
110246,15408
110246,15408
110307,258
110307,258
110316,1416
110316,114
110316,1302
110334,18075
110334,18075
110361,8819
110361,6848
110361,1971
110370,2101
110370,1645
110370,456
110398,1145
110398,1145
110404,2291
110404,1014
110404,1277
110413,5110
110413,3190
110413,1920
110422,20416
110422,19226
110422,1190
110468,5146
110468,1583
110468,3563
110486,9896
110486,8583
110486,1313
110495,9380
110495,8075
110495,1305
110510,19820
110510,17167
110510,2653
110529,23663
110529,21781
110529,1882
110538,17812
110538,16535
110538,1277
110547,15526
110547,12977
110547,2549
110556,24172
110556,21093
110556,3079
110565,40312
110565,34492
110565,5820
110574,16900
110574,13961
110574,2939
110583,38153
110583,32516
110583,5637
110592,24607
110592,20353
110592,4254
110608,39906
110608,34719
110608,5187
110617,31822
110617,28778
110617,3044
110635,39722
110635,28919
110635,10803
110644,35523
110644,28499
110644,7024
110653,30833
110653,25001
110653,5832
110662,43378
110662,30815
110662,12563
110671,22838
110671,20018
110671,2820
110680,31434
110680,25436
110680,5998
110699,3130
110699,3130
110705,23851
110705,20807
110705,3044
110714,18130
110714,16497
110714,1633
110778,741
110778,300
110778,441
110875,150
110875,150
110918,33
110918,33
111009,661
111009,661
111054,314
111054,314
111081,1512
111081,1012
111081,500
111188,1062
111188,1062
111391,886
111391,886
111434,10812
111434,10812
111461,30998
111461,30998
111513,293
111513,293
111638,835
111638,835
111708,459
111708,459
111717,637
111717,637
111726,453
111726,453
111744,220
111744,220
111762,199
111762,199
111771,146
111771,146
111799,138
111799,138
111887,27467
111887,27467
111896,8303
111896,8303
111920,18300
111920,18300
111939,25305
111939,25305
111948,8648
111948,6501
111948,2147
111966,619
111966,89
111966,530
112075,5379
112075,2179
112075,3200
112084,1099
112084,1066
112084,33
112127,86
112127,86
