"","Name","Class","g","delta"
"1","Northwest Kansas Technical College",0,388.578486156972,7.32786536263822e-08
"2","Lancaster County Career and Technology Center",0,-67.1168657216206,1.39663259305706e-08
"3","Eastland-Fairfield Career and Technical Schools",0,-451.708847926267,-2.98065364616889e-07
"4","North Central Kansas Technical College",0,617.544319775596,3.97552803586353e-08
"5","Western Suffolk BOCES",0,212.885351207932,2.30697138048442e-08
"6","EHOVE Career Center",0,726.904933586338,-1.42455398593287e-07
"7","Wayne County Schools Career Center",0,713.753740065451,2.42457186912684e-08
"8","Flint Hills Technical College",0,372.858633776091,6.50988462212958e-08
"9","Salina Area Technical College",0,1329.91881958321,6.72440662538836e-08
"10","Greater Altoona Career & Technology Center",0,17.1953079178884,1.78238081963145e-07
"11","Eastern Suffolk BOCES-Practical Nursing Program",0,584.382488479263,2.74611302589488e-08
"12","Greater Johnstown Career and Technology Center",0,-292.697744558091,2.58461544854648e-08
"13","Ashtabula County Technical and Career Campus",0,-131.16761543327,7.75886329103313e-08
"14","Delta Montrose Technical College",0,1553.35591397849,-2.74022580099978e-07
"15","Lenape Technical School Practical Nursing Program",0,-259.438782991202,4.32600478453783e-08
"16","Southeastern Technical Institute",0,-159.005886508123,-1.17869549031806e-06
"17","York County School of Technology-Adult & Continuing Education",0,1752.72839226841,5.39010500673422e-09
"18","Dutchess BOCES-Practical Nursing Program",0,841.440227703985,8.03406986585597e-08
"19","Greene County Vocational School District",0,1509.60292746597,3.69670326495594e-08
"20","Clarendon College",1,28.196810139083,5.99765855957687e-08
"21","Lakeshore Technical College",1,915.78692501465,-3.65500416492987e-08
"22","Neosho County Community College",1,770.60146697221,-1.04491637549752e-07
"23","Asnuntuck Community College",1,309.84288839304,-6.03970467006611e-08
"24","Glen Oaks Community College",2,-95.5617302616629,-6.73676137088516e-08
"25","Morgan Community College",2,513.263146391883,2.24516469448956e-08
"26","Pine Technical College",2,397.370816728398,-1.07499914513728e-06
"27","East Arkansas Community College",2,249.546492233257,1.97077736567365e-08
"28","Frontier Community College",2,1212.01919467301,NA
"29","College of the Ouachitas",2,181.350884420239,4.52326134929045e-07
"30","Frank Phillips College",2,263.016178521006,3.00594893586228e-08
"31","Pratt Community College",2,264.695823979084,8.55453383538799e-08
"32","Eastern Idaho Technical College",2,16.7787451678755,2.75399233954373e-08
"33","Washburn Institute of Technology",2,569.793994369074,1.2975516114289e-08
"34","Southwest Wisconsin Technical College",2,810.499552627143,8.11319089726317e-09
"35","Nicolet Area Technical College",2,-123.977463947096,5.80182075628086e-09
"36","Hopkinsville Community College",3,-765.42671959425,1.36002980874508e-08
"37","Chippewa Valley Technical College",3,21.3949396237269,NA
"38","Bainbridge State College",3,-1508.78020911143,1.41105704974072e-08
"39","Owensboro Community and Technical College",3,-544.46979390702,3.68515903519355e-08
"40","Hazard Community and Technical College",3,-1060.43794240245,8.27395940308488e-09
"41","Ashland Community and Technical College",3,-837.906917494067,9.97419520340904e-09
"42","Mohave Community College",3,-95.8519216308023,6.44971841428684e-09
"43","Walla Walla Community College",3,2.24070815441996,3.49598327980273e-09
"44","Lincoln Land Community College",3,439.717063488406,-2.73588755034378e-08
"45","Gateway Community and Technical College",3,-391.522067291623,7.76101729489313e-09
"46","GateWay Community College",3,154.061481309726,3.00389410422846e-09
"47","Aims Community College",3,-282.701478765485,9.5886798448937e-09
"48","Oakton Community College",3,722.017446427971,NA
"49","Highland Community College",3,-624.13491105941,-1.80736050836765e-08
"50","Highland Community College",3,-624.13491105941,5.11982953255744e-07
"51","Highland Community College",3,-624.13491105941,-1.80736050836765e-08
"52","Highland Community College",3,-624.13491105941,5.11982953255744e-07
"511","Davidson County Community College",3,-657.291696068775,2.14502087385885e-08
"521","Arapahoe Community College",3,589.494617866533,NA
"53","Hennepin Technical College",3,-64.6120958108199,6.57446266688394e-09
"54","Maysville Community and Technical College",3,-897.648372589655,1.08643999259842e-08
"55","Southcentral Kentucky Community and Technical College",3,-508.734936796141,6.24483884537338e-09
"56","Southeast Kentucky Community and Technical College",3,-407.651476202306,7.65594728035021e-09
"57","Lee College",3,-171.6124243391,2.71892415905111e-09
"58","Walters State Community College",3,-294.990739965767,4.86895911303726e-07
"59","Red Rocks Community College",3,334.921511619812,8.1464198521204e-09
"60","Yavapai College",3,103.209925182135,3.88897349839322e-08
"61","Edmonds Community College",3,267.242215072943,NA
"62","City Colleges of Chicago-Richard J Daley College",3,351.167707982701,NA
"63","Albany Technical College",3,-982.56870042374,5.62956605888267e-09
"64","College of Lake County",3,661.593032436018,NA
"65","Big Sandy Community and Technical College",3,-760.060468789867,7.38556050976596e-09
"66","Green River Community College",3,-44.2272265773297,NA
"67","Harper College",3,575.51765699335,NA
"68","Pueblo Community College",3,-261.171196275159,4.63983768512834e-09
"69","West Kentucky Community and Technical College",3,-394.5747009109,1.02027557010141e-08
"70","Trinidad State Junior College",4,-693.266221904148,-5.04392050670233e-08
"71","Dakota County Technical College",4,91.3956894161097,6.26209142401379e-07
"72","Renton Technical College",4,416.298137883074,3.87262004787498e-09
"73","Minnesota State College-Southeast Technical",4,-335.990058476551,2.56963096152756e-08
"74","Minnesota West Community and Technical College",4,208.407969190892,6.42760613715133e-08
"75","Clovis Community College",4,289.160830723612,5.99193606143438e-09
"76","Arkansas State University-Mountain Home",4,-678.064644090819,3.7501829260281e-09
"77","Henderson Community College",5,-98.3448410361713,4.11217651886444e-08
"78","University of Arkansas Community College-Batesville",5,-1315.54116833543,5.89818884213628e-08
"79","Wabash Valley College",5,749.493014935479,NA
"80","Madisonville Community College",6,-552.199588041519,-2.17475196856186e-08
"83","Western Technical College",6,-577.309072998693,-3.83694477877912e-08
"84","Western Technical College",6,-577.309072998693,1.7956545876051e-09
"85","Western Technical College",6,-577.309072998693,1.37434664301475e-09
"86","Western Technical College",6,-577.309072998693,-3.83694477877912e-08
"87","Western Technical College",6,-577.309072998693,1.7956545876051e-09
"88","Western Technical College",6,-577.309072998693,1.37434664301475e-09
"89","Western Technical College",6,-577.309072998693,-3.83694477877912e-08
"90","Western Technical College",6,-577.309072998693,1.7956545876051e-09
"91","Western Technical College",6,-577.309072998693,1.37434664301475e-09
"841","Cleveland State Community College",6,-1028.29714851162,1.10956542396521e-08
"851","Lake Land College",6,338.624461166349,NA
