"g","delta","phi","Tui","R","ID"
388.578486156972,0.0119985001874766,762,163738,0.21875,1
760.677070854479,0.00692492476671771,1481,230374,0.149305561,2
1709.68008700648,-0.0025335036029223,7860,403507,-0.0910193946875009,3
617.544319775596,0.00655298212068978,1150,164833,0.332764833861538,4
1329.91881958321,0.0108622702109499,904,161535,0.216406301,5
726.904933586338,-0.0302521131831985,510,212362,-0.170731637658536,6
1553.35591397849,-0.036414586646906,840,132889,-0.0817307225,7
-67.1168657216206,0.0059566379999097,578,426500,0.486810084802817,8
-451.708847926267,-0.123125136607342,350,413081,-0.0541454559999989,9
-131.16761543327,0.0162957078002943,204,210027,0.411111102833334,10
212.885351207932,0.010292645102209,462,446154,0.401474194818182,11
17.1953079178884,0.0700304559721829,330,392904,0.0790170042608702,12
713.753740065451,0.0105201203337699,552,433896,0.279829553874999,13
-159.005886508123,-0.206812732035717,137,175459,-0.17647052,14
584.382488479263,0.0118264103628371,434,430660,0.498404041860465,15
-292.697744558091,0.011108056900956,246,429776,0.550817739587629,16
-259.438782991202,0.0186442586707891,176,430981,0.514687109066667,17
1752.72839226841,0.00232784081957333,998,431873,0.655913942857143,18
841.440227703985,0.0358888328620642,204,446708,0.349056576,19
1509.60292746597,0.0138533215513571,346,374748,0.303457086545454,20
948.406169617894,0.00093951698872681,6142,242605,0.300171363214286,21
362.269443139665,0.00193144288069764,3142,229087,0.237667539423077,22
421.805170150154,0.0137350741244506,2285,160559,0.0764705176000008,23
1112.2769168357,0.000530469841838977,7055,242683,0.397289543355263,24
670.372492562953,0.00309498198300081,2469,137851,0.218106965,25
-128.912536031987,0.013907670733407,2095,231885,0.0624532029508205,26
758.67757884358,-0.00898992121948438,4531,245962,-0.0678733036470601,27
-95.5617302616629,-0.0117924312600784,1486,175046,-0.113055388490566,28
-123.977463947096,0.00142986452580968,1793,246451,0.4095567781,29
810.499552627143,0.0020028790922225,4083,246867,0.221562166415842,30
16.7787451678755,0.00412834467666964,1196,149904,0.270042181333333,31
397.370816728398,-0.199413416422111,1939,185501,-0.00574718666666659,32
-303.06595852707,0.00161873270784509,2673,431641,0.322342947026316,33
569.793994369074,0.0021619415674787,1882,166617,0.427829298925926,34
-124.802258557382,0.0110722721860629,1054,170084,0.172993802113207,35
1314.06800668513,-0.0014421819855441,18739,403092,-0.0727294628620699,36
-765.42671959425,0.00222067026826258,5101,163281,0.138194777873832,37
439.717063488406,-0.00411444650618032,13497,150388,-0.0323352931888545,38
-391.522067291623,0.00126745949218555,6606,163311,0.19795050675926,39
50.7833827051809,0.000668230405528119,14185,247779,0.224560132271429,40
-1268.53618231853,-0.0525327035548865,2813,111223,-0.0110847058466255,41
-1060.43794240245,0.00134321939423573,4480,162343,0.209464611817365,42
-837.906917494067,0.00162323044378594,4756,162743,0.185179706570398,43
-44.2272265773297,0.000849178600505208,11600,241794,0.194576129166667,44
-1107.07888137731,0.00438418815091089,3148,111594,0.103643997286957,45
-624.13491105941,0.0815998337228926,5086,159380,0.00488139827586255,46
-624.13491105941,-0.00288057116439962,5086,159380,-0.16138202635659,47
-18.1596061051516,0.00130865548557601,13636,245765,0.0976037443377479,48
-64.6120958108199,0.00122801759002766,8969,186786,0.192218981531532,49
-508.734936796141,0.00101255690593952,6622,162143,0.237052601378947,50
-897.648372589655,0.00177706816590625,5338,163568,0.152749434877551,51
-407.651476202306,0.00125067555239609,7103,163360,0.15345542464574,52
-2247.06122721454,0.000910407751712706,4681,241241,0.319980848636363,53
722.017446427971,0.000687315203634259,22619,152618,0.118387077300613,54
-1508.78020911143,0.00201839010951416,3686,143041,0.171590386382978,55
782.074703119204,0.00175674347481945,24961,150576,0.0406735138109763,56
-108.749346088664,-0.00353077505753269,6643,162353,-0.0804250081363635,57
-657.291696068775,0.00440263385881892,5796,205249,0.0600767670990562,58
-294.990739965767,0.109759012470292,8010,225426,0.00190817108108189,59
-282.701478765485,0.00128646523203552,7253,134165,0.191674294750001,60
589.494617866533,0.00836921357565011,19770,132849,0.0142054668803409,61
351.167707982701,0.000446548000430461,15708,148764,0.199810275837838,62
-760.060468789867,0.00120194827742922,6994,162743,0.164747444029289,63
-1005.63872138999,0.584665737597557,2436,177006,0.00114985856521785,64
-50.1504459218829,0.000668467246391041,6127,239366,0.346261256254545,65
192.679647043241,-0.138363320553058,7450,233976,-0.00203487317073105,66
-250.909685653985,0.00120047323102773,3742,166541,0.285612216528302,67
-261.356085682135,0.00140989201314114,5134,231022,0.205196876852941,68
-102.759894824018,0.00034213809954637,6219,248946,0.534803137517242,69
-102.759894824018,0.000447021027564292,6219,248946,0.46805528539759,70
-102.759894824018,-0.00955192034583018,6219,248946,-0.0429467239055127,71
666.8467634317,0.00109230226633116,14274,248220,0.128897529504854,72
-693.266221904148,-0.0069683779891684,2515,138154,-0.109429769863015,73
-315.028499516398,0.00216505659876047,2040,109858,0.252681457337017,74
-98.3448410361713,0.00670099731805565,3564,162955,0.0714285669411763,75
-52.0621028968782,-0.00670382599030746,5914,248780,-0.0572130418780499,76
-614.875680755306,0.00141109310306954,3668,246900,0.287806602482758,77
-411.841449527685,-0.00808227243479496,2519,133819,-0.115369567697674,78
99.5845245377062,0.0011702850288031,5755,195310,0.199950794066667,79
41.7188503409757,-0.005318376959152,4578,158929,-0.0892136152049182,80
-98.1806167697965,0.116649585613158,4433,186279,0.00508193441860359,81
-155.920362736071,-0.0419438086396052,4958,247580,-0.0107902022439035,82
-965.488861087983,0.00236775099108831,3183,240620,0.190267695018868,83
-228.099633433614,0.00393144770546819,4594,235826,0.0850621134078213,84
-525.566364662457,0.00485657682097748,2940,188999,0.1494105024,85
455.504825217004,-0.00158408037551774,10602,248326,-0.148858965,86
-383.224107329416,0.0523011140034406,1953,115627,0.0164885776842105,87
48.9171290514844,-0.0169621275234512,3792,162330,-0.0315999390243904,88
-166.317276771101,0.00611277652181248,7736,154133,0.0346502072289159,89
-15.9221584165958,0.00163570160627665,9171,151039,0.103382804398305,90
-274.807800049932,0.00240185137316288,6303,151494,0.114727334105264,91
-422.055302329128,0.00110534773551504,8739,248182,0.210408340707793,92
-1939.21317748012,0.00296346089060185,1948,113430,0.219140704759036,93
-441.209533798435,0.00084718512539307,8254,242331,0.229990595422681,94
-987.920035859875,0.00935315496256091,5818,253806,0.0318660258510636,95
-615.062666291955,0.000632467979951559,8703,232617,0.287402109508197,96
-176.208026879912,0.000319472213835269,13935,240962,0.342649761186441,97
-1740.00519108669,0.00234262875713109,2235,112353,0.246920009425415,98
-1006.80133229575,-0.00666778350523756,6379,232627,-0.0464931068764049,99
-718.747656118128,0.000661925223396967,8308,248319,0.316461743546511,100
-1375.13768553426,0.00249026424983219,4830,224436,0.134280300446736,101
-787.134501681906,0.000715721312905046,5238,164731,0.392149787298507,102
-1064.92303756111,0.00134074289868841,6041,237281,0.173785488445378,103
-1947.35457734684,0.00645999132725308,1658,109525,0.132803491724138,104
867.720503498097,-0.00406721335049404,5215,184218,-0.153225869249999,105
980.088672242104,0.0117386730297782,5215,182629,0.0395676871777785,106
-670.39066274883,0.000118278427021201,18128,226351,0.485671590105263,107
-1265.06017829497,0.00147667463602521,9919,162986,0.0972886458999997,108
-1068.80675611892,-0.00272773124185056,16704,244859,-0.0582818504666661,109
-601.44555762898,0.00116963603528568,16698,162499,0.0891878152820875,110
-806.817260327287,0.000711263982077981,13699,148392,0.140401050902174,111
-563.341310091086,0.000682243393901653,18375,162812,0.123218821426196,112
-527.279059705849,0.000477060196892083,10317,145623,0.300931169915094,113
-420.924083096445,0.000633105852815611,10331,136450,0.20736199562753,114
79.5816500881078,0.000460428226988038,20664,177781,0.161234479272251,115
-686.596908988436,0.000284127375904524,24083,224995,0.22617680826636,116
-56.5429616391507,0.00441359604058558,11518,113490,0.0340967066666667,117
76.8906603503854,0.000279112832980337,41205,190479,0.14021998573913,118
-657.514039280704,0.00193327079793125,9818,162078,0.0914079060600005,119
