"g","delta","phi","Tui","R","ID"
991.621908273149,0.00294449728092635,5653,134525,-0.060077224,1
1699.65131054364,0.000463166649166299,11690,145280,-0.184692053,2
1027.49303105629,0.000694501859283552,6316,134309,-0.227973552,3
341.826303805646,0.0017073058051523,5840,186317,-0.100294204,4
1795.91217748026,-0.004114446569211,13497,150388,0.018007413,5
1512.57810418289,0.0012154725959342,9681,134787,-0.084983499,6
1730.36353623485,0.0023011645659699,16530,189729,-0.026289327,7
847.460177195715,0.00101255690490538,6622,162143,-0.149139054,8
900.447399536469,-0.00811854414979728,6867,183104,0.017937206,9
1358.54602481439,0.0012278596361218,12010,209906,-0.067812268,10
1125.41843069317,0.000443674408792759,11416,241572,-0.197433871,11
1406.97849669704,0.000668230403742682,14185,247779,-0.105498049,12
1639.80221114099,-0.000728945130263536,15152,193082,0.090538897,13
982.728365294334,-0.00205564583595858,8697,193360,0.055934819,14
-152.585095119573,0.00201839011451962,3686,143041,-0.134412469,15
843.405818379168,-0.00261285277524887,7406,181591,0.051677483,16
1573.75855175663,0.00179431325069683,11133,142671,-0.050059848,17
1503.24268546977,0.0006756450962329,15247,228065,-0.097072669,18
1130.45514229067,0.00134832592496328,10673,231523,-0.069489407,19
1626.18683709785,0.000880002451659374,14210,170191,-0.079969069,20
458.546741402201,0.00177706816709339,5338,163568,-0.105418624,21
1338.0355078867,0.00130865547838372,13636,245765,-0.056038652,22
1027.49303105629,0.000694501859283552,6316,134309,-0.227973552,23
341.826303805646,0.0017073058051523,5840,186317,-0.100294204,24
1737.22589656736,-0.00121422922775661,20250,220612,0.040670011,25
0,0.00209521762672785,3265,105629,-0.146179905,26
-270.628859082604,0.0043841881446578,3148,111594,-0.07245629,27
-552.674189846857,-0.0120581046946929,3933,169868,0.021086136,28
836.450022294709,-0.000949980252025881,8538,159880,0.123290403,29
568.592529629297,-0.00251310925484789,8312,183546,0.047872168,30
71.0233027004585,0.00222067027201706,5101,163281,-0.088279649,31
444.927955003086,0.00126745949544629,6606,163311,-0.119433825,32
771.837926483889,0.00122801758369658,8969,186786,-0.090792796,33
1122.13688299827,-0.00125820950897345,12297,184219,0.06463204,34
-1.45689519935809,0.0016232304499884,4756,162743,-0.129532269,35
974.059473772708,-0.00187602828565043,9144,163158,0.058294073,36
810.540326946807,0.00123869669973743,10843,188761,-0.074453576,37
678.506537387839,-0.00664963913203858,8409,185681,0.017883708,38
1132.51763659755,-0.00252462567913381,4228,149706,0.093684561,39
212.315111235298,0.0815998430899005,5086,159380,-0.002409541,40
25.0294517303739,-0.00275160371099014,6379,211822,0.056972006,41
-223.987920107744,0.00134321939137501,4480,162343,-0.166178576,42
789.797963518609,-0.00116624553540733,9513,199132,0.090134802,43
666.938284044088,-0.00117511398486735,8667,196153,0.098186371,44
1070.82876811484,0.00309431763448298,9292,150952,-0.034779706,45
565.394169101811,-0.00195970418907014,7972,196305,0.064009169,46
425.558596511272,0.00180555679922609,8257,207859,-0.067075908,47
